subset,intra_mean,intra_max,coverage_mean,coverage_max,nonself_mean,combined
"client_2,client_3,client_5,client_8",0.11341498456150817,0.1623057672644253,0.07481110432310029,0.1788977142460728,0.11863900790891338,0.09411304444230423
"client_1,client_5,client_6,client_8",0.13644061933553298,0.2162643915349292,0.05622167562180037,0.2250718214335146,0.10612556095236504,0.09633114747866667
"client_1,client_2,client_5,client_8",0.13363836021897513,0.207092697629285,0.06308530017768722,0.1788977142460728,0.10613569296570619,0.09836183019833117
"client_1,client_3,client_5,client_8",0.13246026788429985,0.2046708694087895,0.06671715193079059,0.2250718214335146,0.11404736800946365,0.09958870990754522
"client_1,client_2,client_3,client_5",0.1393532748135655,0.207092697629285,0.0635751917666754,0.1788977142460728,0.11324205660910722,0.10146423329012044
"client_1,client_6,client_7,client_8",0.11818234780224612,0.1766737891388874,0.0896359037744567,0.3074824970094167,0.1278956896779603,0.1039091257883514
"client_1,client_5,client_7,client_8",0.1535979741910567,0.2542119788624227,0.05622167562180037,0.2250718214335146,0.11045307162152823,0.10490982490642853
"client_1,client_2,client_3,client_8",0.15230530281211527,0.207092697629285,0.06094538853235999,0.1788977142460728,0.11075107209634427,0.10662534567223764
"client_1,client_5,client_6,client_7",0.15224170742210089,0.2542119788624227,0.06124678229837327,0.2250718214335146,0.10693941553241079,0.10674424486023708
"client_3,client_5,client_6,client_8",0.15724345448043417,0.2408991709379264,0.056711567210788405,0.2250718214335146,0.11151885244789939,0.10697751084561129
"client_1,client_2,client_6,client_8",0.16399596582157475,0.272428130825533,0.05168764596602524,0.1788977142460728,0.1085348500036984,0.10784180589379999
"client_2,client_5,client_6,client_8",0.16327273542629464,0.272428130825533,0.05307971545768505,0.1788977142460728,0.10360717740414194,0.10817622544198985
"client_1,client_3,client_6,client_8",0.15470983131186253,0.2408991709379264,0.06282143656853129,0.250848745903501,0.11694788823743306,0.1087656339401969
"client_5,client_6,client_7,client_8",0.15943764248850945,0.2542119788624227,0.06124678229837313,0.2250718214335146,0.10204137297544133,0.11034221239344129
"client_2,client_3,client_5,client_6",0.16674614458020012,0.272428130825533,0.0551634931205885,0.1788977142460728,0.11267954344732325,0.11095481885039431
"client_1,client_2,client_5,client_6",0.17067826138323253,0.272428130825533,0.05307971545768519,0.1788977142460728,0.09678307561997024,0.11187898842045886
"client_1,client_3,client_5,client_6",0.16787301222565132,0.2408991709379264,0.05671156721078855,0.2250718214335146,0.1046947506637277,0.11229228971821993
"client_2,client_3,client_6,client_8",0.1775121476285538,0.272428130825533,0.050939803812357805,0.1788977142460728,0.11244512287311745,0.1142259757204558
"client_3,client_5,client_7,client_8",0.17377068338261314,0.2717385005711636,0.056711567210788405,0.2250718214335146,0.1153159095044423,0.11524112529670077
"client_1,client_2,client_7,client_8",0.1813286038524905,0.311427417205379,0.05168764596602524,0.1788977142460728,0.1128623606728616,0.11650812490925787
"client_1,client_3,client_7,client_8",0.17068247655167687,0.2717385005711636,0.06282143656853129,0.250848745903501,0.12127539890659625,0.11675195656010408
"client_2,client_5,client_7,client_8",0.18115995711957508,0.311427417205379,0.05307971545768505,0.1788977142460728,0.10740423446068484,0.11711983628863007
"client_1,client_3,client_6,client_7",0.1678019178987711,0.2717385005711636,0.0678465432451042,0.250848745903501,0.1199391716976772,0.11782423057193765
