base_client,rank,neighbor_client,composite_distance,raw_wasserstein_kw,robust_wasserstein,ks_stat,js_divergence,daily_shape_corr,daily_shape_nrmse,monthly_corr
client_1,1,client_6,-2.157100462146574,0.7327031171831109,0.07301856785576008,0.0656663361307519,0.0024531375660043486,0.9630977454272132,0.10065501632869847,0.9583297965562064
client_1,2,client_8,-0.9241229534247173,0.8108581472220847,0.10799933919530993,0.11992031080371524,0.006320899102534045,0.9676793270766375,0.09763798591381641,0.9437742428776464
client_1,3,client_7,-0.877879513813508,0.9382196605871325,0.12542870546164847,0.08326617401648595,0.011614713552448811,0.9778609845441425,0.08530893035026818,0.9830517998305347
client_2,1,client_8,-2.9725004803598734,1.0933979054108167,0.04901061753216675,0.13005759149337792,0.00355518623030117,0.9745614216889882,0.07539427310030876,0.932629422477532
client_2,2,client_4,-2.833991852500551,1.8940790170859934,0.02906952698506188,0.16743452891267396,0.0034974187949028783,0.9772478435645899,0.07037382209595612,0.9762333305336974
client_2,3,client_7,-2.648950399015698,2.670024252886546,0.010322260974468912,0.3048116784571976,0.0008420021175977914,0.9836930492487056,0.05976361797274993,0.9066301888114984
client_3,1,client_4,-0.12681048354610408,2.4004922282133685,0.04102443685566673,0.23173706136301853,0.00913667452671538,0.9665757791356926,0.09847661897846786,0.9695453889362282
client_3,2,client_8,-0.055763340252949156,0.6413265118886811,0.07892707707981764,0.1415660973554406,0.020795673580347052,0.9709799151998059,0.09955908850757504,0.9274604595632919
client_3,3,client_2,0.1621199949534189,0.6038084608803118,0.055961501164185384,0.06498716608042587,0.01276583517797862,0.9370119760618468,0.1227492472979832,0.9657662606828309
client_4,1,client_2,-2.833991852500556,1.8940790170859934,0.02906952698506188,0.16743452891267396,0.0034974187949028783,0.97724784356459,0.07037382209595612,0.9762333305336977
client_4,2,client_8,-1.360513031698035,2.987469855931881,0.04706814444284126,0.27473676207853426,0.009319421832519131,0.9882445692301547,0.05147443576005746,0.9803740975910791
client_4,3,client_3,-0.12681048354610408,2.4004922282133685,0.04102443685566673,0.23173706136301853,0.00913667452671538,0.9665757791356926,0.09847661897846786,0.9695453889362283
client_5,1,client_8,-2.3045836437412897,0.6539071729957806,0.08231327144706384,0.052343482723229556,0.013220225934721925,0.9789009997024463,0.07261497305843272,0.9083865757421601
client_5,2,client_6,-1.4073843284747833,2.025026513855628,0.05419468556102227,0.21273805451020641,0.007509678669005976,0.9772498707257994,0.07572308293967543,0.9333988375213456
client_5,3,client_1,-0.5878140383402757,1.292333358899302,0.06902600951225199,0.1486326203652657,0.005767839835153222,0.957665831985832,0.1077250744011017,0.9914574333888727
client_6,1,client_8,-2.594823412032304,1.3711193408598472,0.039027378653086864,0.18061732618694643,0.0026447952482768103,0.9738896232810474,0.0816653824480327,0.9688178149637147
client_6,2,client_1,-2.1571004621465693,0.7327031171831109,0.07301856785576008,0.0656663361307519,0.0024531375660043486,0.963097745427213,0.10065501632869847,0.9583297965562064
client_6,3,client_7,-1.5691878492160343,0.3419079712624016,0.06651287196987896,0.040445508799939134,0.009131264310603295,0.9557110126447441,0.1053182903984409,0.9298256222961203
client_7,1,client_8,-2.9960348461425523,1.5771254989166381,0.05629778594249259,0.17860265328619762,0.0053469890780926295,0.9864533930963516,0.055147832786703425,0.9410760761556035
client_7,2,client_2,-2.648950399015703,2.670024252886546,0.010322260974468912,0.3048116784571976,0.0008420021175977914,0.9836930492487057,0.05976361797274993,0.9066301888114983
client_7,3,client_6,-1.5691878492160294,0.3419079712624016,0.06651287196987896,0.040445508799939134,0.009131264310603295,0.955711012644744,0.1053182903984409,0.9298256222961203
client_8,1,client_7,-2.996034846142557,1.5771254989166381,0.05629778594249259,0.17860265328619762,0.0053469890780926295,0.9864533930963517,0.055147832786703425,0.9410760761556036
client_8,2,client_2,-2.9725004803598685,1.0933979054108167,0.04901061753216675,0.13005759149337792,0.00355518623030117,0.9745614216889881,0.07539427310030876,0.9326294224775319
client_8,3,client_6,-2.5948234120322993,1.3711193408598472,0.039027378653086864,0.18061732618694643,0.0026447952482768103,0.9738896232810473,0.0816653824480327,0.9688178149637147
client_9,1,client_2,0.9868045337574208,0.6328035174529356,0.0970200761733454,0.1556551402190577,0.005117090364468653,0.9446210222689082,0.14724830604155403,0.8682702098588869
client_9,2,client_5,1.4916215102580637,1.1152516440491123,0.0845942549671155,0.24841296993195727,0.014954815198991578,0.9748372031444057,0.15305581141875046,0.9564045508402358
client_9,3,client_3,1.8415357777825099,1.006756788359802,0.08700562740759836,0.1309235900248426,0.007910202350511574,0.9122664797300097,0.11416758769959046,0.7517242775494135
