client,n_rows,start,end,mode_freq_min,missing_30min_timestamps,duplicate_timestamps,gc_missing,gc_negative,gc_zero,gc_zero_pct,gc_mean,gc_std,gc_cv,gc_min,gc_p001,gc_p01,gc_p05,gc_p25,gc_p50,gc_p75,gc_p95,gc_p99,gc_p999,gc_max,gc_outer_outlier_count_iqr3,gc_outer_outlier_pct_iqr3,gc_max_abs_30min_jump,gc_p99_abs_30min_jump,gc_autocorr_lag1,gc_autocorr_lag48,feature_rows_after_gc_weather_dropna,feature_dropna_kept_pct,first_valid_gc_weather_timestamp,last_valid_gc_weather_timestamp,temp2m_c_missing_pct,wind10m_ms_missing_pct,ghi_wm2_missing_pct
1,52595,2010-07-01 10:00:00,2013-07-01,30.0,0,6,0,0,6,0.011407928510314668,8.174771309059796,4.37470744014405,0.5351473790215665,0.0,2.908188,3.268,3.7877,5.238,6.926,9.7005,17.150299999999994,23.75429999999999,34.824058000000385,47.551,640,1.216845707766898,13.574000000000002,5.343,0.9374240920451197,0.79198920289707,52589,99.98859207148969,2010-07-01 10:00:00,2013-07-01,0.011407928510314668,0.011407928510314668,0.011407928510314668
2,52595,2010-07-01 10:00:00,2013-07-01,30.0,0,6,0,0,6,0.011407928510314668,9.906595151630382,4.35731386856966,0.4398397029329046,0.0,3.622188,4.33194,4.975,6.798,8.975,11.795,18.469199999999983,24.998719999999974,32.53399200000009,45.64,320,0.608422853883449,15.701999999999998,5.350140000000001,0.9261540473511382,0.8213223299116503,52589,99.98859207148969,2010-07-01 10:00:00,2013-07-01,0.011407928510314668,0.011407928510314668,0.011407928510314668
3,52595,2010-07-01 10:00:00,2013-07-01,30.0,0,6,0,0,6,0.011407928510314668,9.40017564407263,3.6443237078434345,0.38768676733624624,0.0,3.638158,4.187,4.924,6.996,8.66,10.9025,16.672299999999996,22.09629999999999,28.079982000000527,37.947,448,0.8517919954368286,14.394999999999996,4.521070000000001,0.9174245844882949,0.8209080086879665,52589,99.98859207148969,2010-07-01 10:00:00,2013-07-01,0.011407928510314668,0.011407928510314668,0.011407928510314668
4,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,11.800610407876228,5.5444783612226205,0.469846742633076,0.0,3.769613,4.399,5.178,7.93,10.656500000000001,14.29875,22.9777,30.14087,38.665901000000055,52.994,190,0.3611206142851712,13.523,5.985519999999989,0.9442155384107201,0.8298209956781497,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
5,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,9.467104667959099,4.678590859864811,0.4941944790891821,0.0,3.742065,4.112,4.673,6.193,8.079,11.503,18.796349999999997,24.742880000000063,39.95453900000024,53.394,294,0.5587866347360018,12.624999999999998,5.491879999999998,0.941239227367366,0.7646412085862828,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
6,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,7.442078154103472,3.657055464342394,0.49140245353724726,0.0,2.568613,2.993,3.451,4.853,6.4755,9.069,14.926699999999997,20.20409000000002,24.984257000000028,30.223,284,0.5397802866157296,10.072000000000001,4.041399999999987,0.9399190982288512,0.8476027798413014,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
7,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,7.236571102748318,3.2391344608537245,0.4476062509250493,0.0,2.707839,3.077,3.545,4.973,6.553,8.628,13.541699999999997,18.63587,25.598449000000066,37.274,373,0.708936784886152,11.688,4.30603999999998,0.9239905219044212,0.8105115150671472,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
8,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,8.813197494963319,3.9598102955442553,0.449304613655516,0.0,3.379613,3.72013,4.247,5.935,7.856,10.698,16.874,21.54948000000001,27.94628800000006,37.157,128,0.2432812559394838,10.405,4.783879999999996,0.9332784684713173,0.8447516810353216,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
9,52614,2010-07-01 00:30:00,2013-07-01,30.0,0,6,0,0,6,0.011403808872163301,10.406932432432432,4.004017509158845,0.38474522008816175,0.0,4.605613,5.40913,6.311,7.834,9.4,11.8,17.919349999999998,24.246140000000057,42.897088000001034,54.752,584,1.1099707302238948,14.876,5.4388799999999975,0.9091895911651221,0.6780231875881577,52589,99.95248412969931,2010-07-01 10:00:00,2013-07-01,0.04751587030068043,0.04751587030068043,0.04751587030068043
