round,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,avg_local_train_loss,avg_local_val_loss,avg_client_val_RMSE,regional_val_RMSE
1,0.5,0.5,0.5,0.0,1.6558390458424885,0.010967552937083458,0.0018671158851561443,2.670376329177664,19.64833654298119
2,0.8122379846043057,0.6870638728141785,0.88395094871521,15.006855085163583,1.9913980431026883,0.0015692474901483693,0.0012209801440702958,1.6362195196534073,8.385870867130933
3,0.6320057511329651,0.605018675327301,0.6620969176292419,5.421195980309534,3.56038581000434,0.0012488429470194312,0.0009572803830913031,1.4883343161617537,6.672030802209681
4,0.5931495626767477,0.5712028741836548,0.6113993525505066,3.7721168828006038,3.9939282735188804,0.001106039493984619,0.0008778195861661438,1.3773031980641817,6.067975589831345
5,0.5621053311559889,0.5534188151359558,0.5724158883094788,2.497560172500542,3.38653744591607,0.0010370826137678902,0.0008367084643547657,1.3252685565444629,5.797727455325943
6,0.5484946038987901,0.5426846146583557,0.5539717674255371,1.9460052119855797,3.0608374807569714,0.0009855603681722168,0.0007784928554786652,1.276002155118219,5.372395261344441
7,0.5438190897305807,0.5406342148780823,0.547539472579956,1.7573095605891365,2.6725317239761353,0.0009604190426759746,0.0008194482877939983,1.2666405118464212,5.193925118736127
8,0.5394610431459215,0.5344633460044861,0.5435448288917542,1.5817818585922292,2.898572074042426,0.0009409678348684344,0.0007741214802310995,1.2790883279920449,5.678847217974583
9,0.5405970083342658,0.5369994044303894,0.545202910900116,1.6275044451428888,2.7671391434139676,0.0009155922723541323,0.0007191537536682326,1.2646552383292116,5.501960925014439
10,0.5392845604154799,0.5334774255752563,0.5450445413589478,1.5747034007615488,2.6365287436379328,0.0009036291313216198,0.0007446432967251346,1.2807514324278924,6.015166505457593
11,0.5402765472730001,0.5353132486343384,0.5458096265792847,1.6146527177670376,2.6232763793733387,0.0009009582132076523,0.000763918022755834,1.2357360506722932,5.093194474895539
12,0.5399468607372708,0.5323435664176941,0.5449894070625305,1.6013967077564706,2.798117571406894,0.000894695748047996,0.0007550312955388272,1.2539909799516946,5.373898947852797
13,0.5433953404426575,0.5382700562477112,0.5474674105644226,1.7402616453864743,2.7238968875673084,0.0008812467340008293,0.0007416222592393009,1.2648012852021449,5.932596209453651
14,0.5416682826148139,0.5359574556350708,0.5484066605567932,1.6706999393910842,2.7304282983144126,0.0008740045938448021,0.0007693267711470358,1.2656817132700395,5.6824217541632285
15,0.5426331228680081,0.5367160439491272,0.5490268468856812,1.7095701583441243,2.755914423200819,0.0008726731715169669,0.0007173827692057745,1.2991205222494921,6.345910517155757
16,0.545266224278344,0.5403212308883667,0.5507297515869141,1.8157098707154447,2.767565449078878,0.0008660078717743023,0.0007303866460121255,1.265073512859097,5.856032249612027
17,0.5463753475083245,0.5399224162101746,0.5559346675872803,1.8605410391962824,3.085929923587375,0.0008638159617955186,0.000740887262638592,1.2323461699583953,5.013251482789139
18,0.5484766960144043,0.5428127646446228,0.5561307072639465,1.9453384569917236,2.78801566362381,0.0008636001009229427,0.0007216961861983344,1.2501973542564884,5.253614362245053
19,0.5461418628692627,0.5410037040710449,0.5570064783096313,1.8511555303602816,2.892324619823032,0.0008552617809804116,0.0007264889506017924,1.2593817966768528,5.297069984830702
20,0.5499103731579251,0.545409619808197,0.5585901737213135,2.0032214421998815,2.800817860497369,0.0008539888782450647,0.0006898997614288899,1.306605450572319,6.152919429911814
