target,client_id,client_name,FedAvg_MAE,FedAvg_MSE,FedAvg_RMSE,FedAvg_MAPE_percent,FedAvg_R2,Local_MAE,Local_MSE,Local_RMSE,Local_MAPE_percent,Local_R2,delta_Local_minus_FedAvg_MAE,delta_pct_Local_minus_FedAvg_MAE,delta_Local_minus_FedAvg_MSE,delta_pct_Local_minus_FedAvg_MSE,delta_Local_minus_FedAvg_RMSE,delta_pct_Local_minus_FedAvg_RMSE,delta_Local_minus_FedAvg_MAPE_percent,delta_pct_Local_minus_FedAvg_MAPE_percent,delta_Local_minus_FedAvg_R2,rmse_winner,practical_rmse_winner_1pct
gc,1,client_1,1.0366933345794678,1.7674274444580078,1.3294462924308028,14.025652408599854,0.8948004841804504,0.959130048751831,1.7227141857147217,1.3125220705628995,11.5737184882164,0.8974618911743164,-0.07756328582763672,-7.481796519806899,-0.04471325874328613,-2.529849747636895,-0.016924221867903322,-1.273027873653965,-2.4519339203834534,-17.48178158814235,0.002661406993865967,Local,Local
gc,2,client_2,0.9808616042137146,1.742640495300293,1.3200910935614607,10.6299489736557,0.8978343605995178,0.9793297648429872,1.7653948068618774,1.3286816047728958,10.758648067712784,0.8965003490447998,-0.001531839370727428,-0.15617283459223508,0.022754311561584473,1.305737564514902,0.008590511211435059,0.6507513953646035,0.12869909405708313,1.2107216542246746,-0.0013340115547180176,FedAvg,Tie
gc,3,client_3,0.9607108235359192,1.6311101913452148,1.2771492439590664,11.288993805646896,0.8518997430801392,0.9416025280952454,1.5341482162475586,1.2386073696888609,11.315226554870604,0.8607036471366882,-0.019108295440673828,-1.9889747229395511,-0.09696197509765625,-5.9445386100916595,-0.0385418742702055,-3.0178050413848734,0.02623274922370733,0.23237455591999154,0.008803904056549072,Local,Local
gc,4,client_4,1.1077532768249512,2.1787455081939697,1.476057420358019,10.1604163646698,0.8958629965782166,1.126594066619873,2.3062527179718018,1.5186351497222108,10.121337324380876,0.8897686004638672,0.018840789794921875,1.7008110189412804,0.12750720977783203,5.8523223248559555,0.042577729364191796,2.884557794090729,-0.039079040288923395,-0.38462046127175037,-0.006094396114349365,FedAvg,FedAvg
gc,5,client_5,1.0465706586837769,1.875869870185852,1.3696239886136092,12.50883936882019,0.8948413133621216,0.90977680683136,1.561572790145874,1.2496290610200589,10.154899954795836,0.9124603867530824,-0.13679385185241688,-13.070675230323783,-0.314297080039978,-16.75473789708233,-0.11999492759355035,-8.761158434076073,-2.353939414024355,-18.818208025692908,0.017619073390960804,Local,Local
gc,6,client_6,0.7255567908287048,1.0041348934173584,1.0020653139478275,10.892929881811142,0.9095556735992432,0.8130807876586914,1.1276357173919678,1.061901933980708,13.6984184384346,0.8984317183494568,0.08752399682998657,12.063011184833625,0.12350082397460938,12.299226407151407,0.059836620032880594,5.971329333528452,2.805488556623459,25.75513279772436,-0.011123955249786377,FedAvg,FedAvg
gc,7,client_7,0.7442722916603088,0.9922969937324524,0.9961410511230084,10.807042568922045,0.9083289504051208,0.7601599097251892,1.0737394094467163,1.0362139786003255,10.565315932035446,0.900805115699768,0.01588761806488037,2.134651288635046,0.08144241571426392,8.20746371587041,0.040072927477317055,4.022816591299042,-0.24172663688659846,-2.2367510384546363,-0.007523834705352894,FedAvg,FedAvg
gc,8,client_8,0.8858327269554138,1.5177950859069824,1.2319882653284415,9.459295868873596,0.914619207382202,0.9163364171981812,1.5090259313583374,1.228424165896429,10.221216082572935,0.9151124954223632,0.030503690242767334,3.4435045482692646,-0.00876915454864502,-0.5777561562867277,-0.003564099432012524,-0.28929654058534027,0.761920213699339,8.05472441354208,0.0004932880401611328,Local,Tie
gc,9,client_9,1.3374196290969849,2.9028890132904053,1.7037866689496093,14.767955243587494,0.7165437936782837,1.1084153652191162,2.058231830596924,1.4346539062076693,12.371956557035446,0.7990213632583618,-0.22900426387786865,-17.122843040107803,-0.8446571826934814,-29.097122860238745,-0.26913276274194,-15.796153805327126,-2.3959986865520477,-16.224308965132003,0.08247756958007812,Local,Local
gg,1,client_1,0.2877006828784942,0.4318419396877289,0.6571468174523323,64553231.25,0.9776567220687866,0.3083387613296509,0.4550516009330749,0.6745751262335982,116706350.0,0.9764558672904968,0.02063807845115667,7.173454801938317,0.023209661245346014,5.374573220500365,0.01742830878126589,2.6521179618327975,52153118.75,80.79087249408603,-0.001200854778289795,FedAvg,FedAvg
gg,2,client_2,0.2786847651004791,0.4052658379077911,0.6366049307912963,60835731.25,0.978827714920044,0.2990748286247253,0.4293980896472931,0.6552847393670121,197033487.5,0.9775669574737548,0.02039006352424616,7.316533258247746,0.02413225173950201,5.954672089827801,0.01867980857571583,2.934285876877663,136197756.25,223.8778978266987,-0.0012607574462891735,FedAvg,FedAvg
gg,3,client_3,0.3044971525669098,0.5168151259422302,0.7188985505217201,62738762.5,0.9714624285697936,0.3471982479095459,0.5713825821876526,0.7558985263827762,144009312.5,0.9684492945671082,0.04270109534263611,14.023479360206178,0.05456745624542236,10.558409285319938,0.03699997586105608,5.146759001559316,81270550.0,129.5380188603497,-0.003013134002685436,FedAvg,FedAvg
gg,4,client_4,0.3205519914627075,0.5785160064697266,0.7606023970970158,84106937.5,0.9681382179260254,0.3768454790115356,0.6369991898536682,0.7981222900368515,298797075.0,0.964917242527008,0.05629348754882807,17.561421874796608,0.05848318338394165,10.109172906178188,0.03751989293983571,4.932918050618502,214690137.5,255.25853619387817,-0.003220975399017445,FedAvg,FedAvg
gg,5,client_5,0.4667709171772003,1.1690555810928345,1.0812287367124658,104080362.5,0.972709894180298,0.5295476317405701,1.338853359222412,1.1570883109004308,191986812.5,0.9687461853027344,0.06277671456336975,13.44914866226291,0.16979777812957764,14.524354605180575,0.07585957418796507,7.016052349720208,87906450.0,84.46016893916948,-0.003963708877563588,FedAvg,FedAvg
gg,6,client_6,0.2567403316497803,0.3621142208576202,0.6017592715177891,66274156.25,0.9736939072608948,0.2774766385555267,0.3763908743858337,0.6135070287990463,132692037.5,0.972656786441803,0.020736306905746404,8.076762529867267,0.014276653528213501,3.9425829492145086,0.01174775728125721,1.952235360101124,66417881.25,100.21686432258427,-0.0010371208190917969,FedAvg,FedAvg
gg,7,client_7,0.2138882279396057,0.2472960799932479,0.4972887290028279,59355843.75,0.9738261699676514,0.2500604093074798,0.2496667355298996,0.4996666243906026,334166525.0,0.9735752940177916,0.03617218136787409,16.91172147075238,0.0023706555366516946,0.9586304549252953,0.00237789538777472,0.4781719852253474,274810681.25,462.98841678920616,-0.00025087594985973016,FedAvg,Tie
gg,8,client_8,0.272847056388855,0.4093279838562011,0.6397874520934286,71993387.5,0.9705819487571716,0.311201274394989,0.4208554029464721,0.6487336918539627,299819375.0,0.9697535037994384,0.03835421800613403,14.057039322232063,0.011527419090270996,2.816181532880643,0.008946239760534103,1.398314351314861,227825987.5,316.45404586636516,-0.0008284449577332653,FedAvg,FedAvg
gg,9,client_9,0.3093269765377044,0.4970450103282928,0.705014191579356,65502018.75,0.9768090844154358,0.3354431688785553,0.5244438052177429,0.7241849247379725,146357150.0,0.975530743598938,0.026116192340850886,8.442908094589525,0.02739879488945013,5.512336774360439,0.019170733158616504,2.7191981931130615,80855131.25,123.43914400348157,-0.0012783408164978027,FedAvg,FedAvg
net_load,1,client_1,1.15117347240448,2.251604557037353,1.500534757024093,71.03695273399353,0.9473276734352112,1.0867022275924685,2.239687919616699,1.496558692339428,64.29020166397095,0.9476064443588256,-0.0644712448120115,-5.600480410424075,-0.011916637420653853,-0.5292509016918001,-0.003976064684664937,-0.2649765136097475,-6.746751070022583,-9.497523204981228,0.00027877092361439093,Local,Tie
net_load,2,client_2,1.0920960903167725,2.2269186973571777,1.4922863992401652,63.18008899688721,0.9464703798294068,1.0982545614242554,2.272087574005127,1.507344543893375,66.63344502449036,0.9453846216201782,0.00615847110748291,0.5639129342269315,0.04516887664794922,2.028312784905615,0.01505814465320987,1.0090653282692317,3.4533560276031494,5.465892945755887,-0.0010857582092286266,FedAvg,FedAvg
net_load,3,client_3,1.098016619682312,2.24072265625,1.496904357749686,70.72691321372986,0.92520409822464,1.0960253477096558,2.207974910736084,1.485925607403037,65.08316397666931,0.9262972474098206,-0.00199127197265625,-0.18135171517097642,-0.032747745513916016,-1.4614814297777292,-0.010978750346649191,-0.7334303150238453,-5.643749237060547,-7.979634598226683,0.001093149185180553,Local,Tie
