client_id,season_encoder,residual_corrector,q,mode,step,MAE,RMSE,sMAPE,WAPE,NRMSE_mean_abs,R2
1,Transformer,none,0,base_only,step_1,4.186455417240425,5.735339099750633,38.61078585969519,26.764553981374757,36.66676647177567,0.8054795202309709
1,Transformer,none,0,base_only,step_2,4.861035451988161,6.5192350793470215,46.68202929143268,31.064574682367518,41.6613402761013,0.7489076672165991
1,Transformer,none,0,base_only,step_3,5.997842714591227,7.717394993996137,55.26684804821566,38.30497440304962,49.28682076226305,0.648643327177816
1,Transformer,none,0,base_only,step_4,6.099123151557833,7.721810658198741,56.4345452567391,38.931706265710396,49.28958437720611,0.6484019443778983
1,Transformer,none,0,base_only,step_5,6.362763185965963,8.103761075743677,58.77856167184363,40.59362565044727,51.700969041123365,0.6129370757091357
1,Transformer,none,0,base_only,step_6,6.7164777312938915,8.489403846915016,59.027551617481876,42.834391561247806,54.14123888592518,0.5753270906914404
1,Transformer,LowRankAdapter,6,residual_corrected,step_1,3.61650840481733,5.009677903919536,35.11145790061095,23.120808602479407,32.02752036227794,0.851588778738004
1,Transformer,LowRankAdapter,6,residual_corrected,step_2,4.193272560507746,5.707790846814577,42.71743468881205,26.797218392253892,36.4757849348449,0.8075241396728413
1,Transformer,LowRankAdapter,6,residual_corrected,step_3,4.1476884076267515,5.548980860028892,42.16929384756683,26.489040451070974,35.438334473515894,0.8183509204681669
1,Transformer,LowRankAdapter,6,residual_corrected,step_4,4.260213156783816,5.670988924247999,42.2598006462034,27.193641303481343,36.198852763520954,0.8103618254416696
1,Transformer,LowRankAdapter,6,residual_corrected,step_5,4.393364165334029,5.898592858523724,42.45716679194409,28.029108590277396,37.63227517621998,0.7949285706703173
1,Transformer,LowRankAdapter,6,residual_corrected,step_6,5.107178196679028,6.929150407185675,49.42503684179898,32.57107064173553,44.19071047118025,0.7170822818125103
