epoch,split,component,mean,mean_abs,rms,std,min,max,share_abs,share_energy,dyn_mean,dyn_mean_abs,dyn_rms,dyn_std,share_dyn_abs
1,val,S_dev,46.81026021345278,78.33334691580455,96.84539828096469,84.78107516980141,-240.0621267132759,313.0456306228637,0.12934212379851087,0.06008232493851384,-1.8336586729292908e-15,67.82288232967117,84.78107516980141,84.78107516980141,0.48230556324269613
1,val,Rw_dev,249.05628604331386,249.05628604331386,249.11724151814542,5.5105720139592265,233.31098190164565,261.21334851884836,0.4112357029355047,0.39755417918114333,-7.94585424936026e-15,4.7229811537779085,5.5105720139592265,5.5105720139592265,0.033586306085976354
1,val,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,Event_dev,-278.2394120520188,278.2394120520188,290.9717662974545,85.13165312154698,-550.0873932504653,-6.011339010246098,0.45942217326598267,0.5423634958803427,4.7020247398686816e-14,68.07636337554781,85.13165312154698,85.13165312154698,0.4841081306713204
1,train,S_dev,51.189348520665305,79.87370476053903,99.22260738528477,84.99868478020251,-304.4145623002052,407.6074073038101,0.1320824836820017,0.06336462473500425,-8.20769321551396e-15,67.91957142957327,84.99868478020251,84.99868478020251,0.48147266689070495
1,train,Rw_dev,246.60631306537866,246.60631306537866,246.67577709719924,5.853662341439302,231.2134911446571,261.21745170688627,0.4077984665790612,0.39163239328779514,-1.980999305776094e-14,4.968343450501124,5.853662341439302,5.853662341439302,0.03521991556766767
1,train,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,train,Event_dev,-278.2422014959201,278.2459271588898,290.995746526701,85.20447055956534,-620.1450292491912,27.645054343998428,0.46011904973893536,0.5450029819772007,2.964731401593301e-14,68.17839292964938,85.20447055956534,85.20447055956534,0.48330741754162027
1,test,S_dev,50.979586134499144,81.30995009327708,100.90678807878619,87.08192509316873,-257.9234762320518,334.8408563904762,0.13493961087205125,0.06611637373214327,-1.0478049559595948e-14,69.93792189713909,87.08192509316873,87.08192509316873,0.4841784142429392
1,test,Rw_dev,245.36047706297325,245.36047706297325,245.4298910985971,5.836757670094605,231.94916573286054,260.18902570867533,0.40719305890947766,0.39113183921817096,9.146464094730628e-15,4.887267199929999,5.836757670094605,5.836757670094605,0.033834423709698955
