epoch,split,timestamp,y_true,y_pred,y_base_pred,S_real,Rw_real,Ru_real,event_gate,event_correction_real,S_dev,Rw_dev,Ru_dev,event_correction_dev,P_future,T_future
1,val,2012-11-24 13:30:00,-0.7339996335059396,0.9036230993270882,199.1206028227806,-52.57049625831842,251.69110215234753,0.0,0.940621018409729,-198.2169797234535,-41.17649625831842,251.69110215234753,0.0,-198.2169797234535,-222.94912989664076,62.8898026138544
1,val,2012-11-24 14:00:00,0.5310000322014101,3.6231768188476567,242.59171792507172,-8.95403201584518,251.5457461018562,0.0,0.9601051807403564,-238.96854110622402,2.43996798415482,251.5457461018562,0.0,-238.96854110622402,-107.40743336820601,62.690042466878886
1,val,2012-11-24 14:30:00,-1.7400001427531233,1.9937934780120856,282.8616338281632,31.31425382208824,251.547392291069,0.0,0.9687031507492065,-280.867840350151,42.70825382208824,251.547392291069,0.0,-280.867840350151,-2.9686864900737997,63.899856403350825
1,val,2012-11-24 15:00:00,0.16799995453655803,0.8662030072212227,375.4070989933014,123.70546860098835,251.7016426773071,0.0,0.9836928248405457,-374.5408959860801,135.09946860098836,251.7016426773071,0.0,-374.5408959860801,243.62728114843367,62.32307740736007
1,val,2012-11-24 15:30:00,0.17399963854253375,3.083423316955567,312.50581605243684,60.9564950172901,251.54930875015256,0.0,0.9723083972930908,-309.42239273548125,72.3504950172901,251.54930875015256,0.0,-309.42239273548125,75.60886243665217,63.73032962691783
1,val,2012-11-24 16:00:00,1.170999853968621,0.13404192733764733,385.8738648481369,133.88388107371327,251.98997148942945,0.0,0.9844249486923218,-385.7398229207992,145.27788107371327,251.98997148942945,0.0,-385.7398229207992,265.7568061761856,65.29371183681488
1,val,2012-11-24 16:30:00,2.5209993940293796,3.5014570970535286,385.8298354291916,135.28626229310032,250.54358542108534,0.0,0.982343316078186,-382.328378332138,146.68026229310033,250.54358542108534,0.0,-382.328378332138,268.82675249814986,65.68992746734618
1,val,2012-11-24 17:00:00,5.1010001871585855,5.480422230720521,280.1647827777863,28.995587102115152,251.16918646192548,0.0,0.9640885591506958,-274.6843605470657,40.38958710211515,251.16918646192548,0.0,-274.6843605470657,-10.402497675880788,64.71672866022585
1,val,2012-11-24 17:30:00,9.322999474465847,11.463761052012444,61.18526617789268,-190.074485260725,251.25975143861768,0.0,0.8563714623451233,-49.721505125880235,-178.680485260725,251.25975143861768,0.0,-49.721505125880235,-593.4375503005981,67.41173081898688
1,val,2012-11-24 18:00:00,9.278999232381583,13.739242946386335,159.73071018886566,-92.11975290727614,251.8504630961418,0.0,0.9387256503105164,-145.9914672424793,-80.72575290727615,251.8504630961418,0.0,-145.9914672424793,-336.2348592438697,68.38835099697113
1,val,2012-11-24 18:30:00,10.654000271111727,9.364814523220062,355.67784068775177,103.33525301194189,252.34259996080397,0.0,0.9839897155761719,-346.31302616453166,114.72925301194189,252.34259996080397,0.0,-346.31302616453166,181.19855279159543,67.70193923521042
1,val,2012-11-24 19:00:00,11.177000112265349,11.500855591773988,331.36084960603716,78.78664679348469,252.57419667005536,0.0,0.9728301167488098,-319.8599940142631,90.18064679348468,252.57419667005536,0.0,-319.8599940142631,119.67317690777777,65.62653075516224
1,val,2012-11-24 19:30:00,13.903000382453202,11.91156751537323,266.6510189700127,13.09047854912281,253.56053427839277,0.0,0.9594848155975342,-254.7394514546394,24.48447854912281,253.56053427839277,0.0,-254.7394514546394,-55.75405149114131,66.79856833469867
1,val,2012-11-24 20:00:00,11.928999922037125,10.791495460987091,376.66783423042295,122.98044510269162,253.68738912773128,0.0,0.9815674424171448,-365.87633876943585,134.37444510269162,253.68738912773128,0.0,-365.87633876943585,233.8393349289894,67.23749274730682
1,val,2012-11-24 20:30:00,11.108999598532915,9.372996329307556,237.41344548130036,-17.315395577475428,254.72883721971507,0.0,0.9503100514411926,-228.04044915199276,-5.921395577475428,254.72883721971507,0.0,-228.04044915199276,-136.10312805104255,66.81468624699114
1,val,2012-11-24 21:00:00,12.731999349296093,14.49800103855133,173.2869677913189,-73.91581175732611,247.202779548645,0.0,0.926407516002655,-158.78896675276755,-62.52181175732612,247.202779548645,0.0,-158.78896675276755,-284.8570482125282,66.33558376109599
1,val,2012-11-24 21:30:00,11.680999674379827,12.248520334243775,365.8097176027298,119.07940664315223,246.73032324457165,0.0,0.984512448310852,-353.56119726848596,130.47340664315223,246.73032324457165,0.0,-353.56119726848596,223.65025908136366,67.16488228952883
1,val,2012-11-24 22:00:00,8.697000706940889,11.675253368377685,358.37429861831663,112.51961290001867,245.85469800329204,0.0,0.9756681323051453,-346.69904524993893,123.91361290001868,245.85469800329204,0.0,-346.69904524993893,204.03409643173217,68.59262587928771
1,val,2012-11-24 22:30:00,7.242999477863313,10.6215079972744,176.05901529073714,-69.07372432029246,245.13273346853254,0.0,0.9222307205200195,-165.43750729346274,-57.679724320292465,245.13273346853254,0.0,-165.43750729346274,-272.3047571849823,66.48481572723388
1,val,2012-11-24 23:00:00,9.869999587267637,10.295795948028564,228.71824948930742,-15.712729027613996,244.43099003410336,0.0,0.9522799253463745,-218.42245354127883,-4.318729027613997,244.43099003410336,0.0,-218.42245354127883,-131.35125546836852,66.4912653491497
1,val,2012-11-24 23:30:00,8.693000405728817,9.973511412143708,337.33742553806303,93.38150851178167,243.9559047412872,0.0,0.9772087335586548,-327.3639141259193,104.77550851178168,243.9559047412872,0.0,-327.3639141259193,154.6100662961006,67.88527434504032
1,val,2012-11-25 00:00:00,7.392999256134034,11.92630950832367,300.1469645423889,56.61137244760989,243.53558595228193,0.0,0.9628665447235107,-288.2206550340652,68.00537244760989,243.53558595228193,0.0,-288.2206550340652,57.34877886354923,67.96364646506309
1,val,2012-11-25 00:30:00,6.23900065484643,10.999259281635284,290.4645218524933,47.19106081986427,243.27347331762311,0.0,0.9612163305282593,-279.465262570858,58.58506081986427,243.27347331762311,0.0,-279.465262570858,33.661989552974696,67.21526919293403
1,val,2012-11-25 01:00:00,5.386999457269908,9.003856825828553,248.151955406189,5.183902398765088,242.96804379367825,0.0,0.9489061832427979,-239.1480985803604,16.577902398765087,242.96804379367825,0.0,-239.1480985803604,-77.46307345497607,67.31181696176529
1,val,2012-11-25 01:30:00,4.982999747335912,8.600761598587036,292.6108577461243,49.99117338836192,242.61969050025937,0.0,0.9666661620140076,-284.0100961475372,61.38517338836192,242.61969050025937,0.0,-284.0100961475372,38.4571237424612,68.83949283623694
1,val,2012-11-25 02:00:00,5.588000388652087,9.833093929290772,291.68383208942413,49.42766685032844,242.2561775240898,0.0,0.9625489115715027,-281.85073816013335,60.82166685032844,242.2561775240898,0.0,-281.85073816013335,39.02814869689941,67.55378834855556
1,val,2012-11-25 02:30:00,4.902000174194575,7.037545236110688,203.570596244812,-38.3213127759695,241.8919028782844,0.0,0.9309244751930237,-196.5330510087013,-26.9273127759695,241.8919028782844,0.0,-196.5330510087013,-190.6913028872013,66.2508787266016
1,val,2012-11-25 03:00:00,5.858999680936337,9.037738839626313,363.62465940761564,122.1295618395805,241.4950975680351,0.0,0.984276533126831,-354.5869205679893,133.5235618395805,241.4950975680351,0.0,-354.5869205679893,232.97058928442,66.3766340689659
1,val,2012-11-25 03:30:00,6.526999307751656,7.088269976854325,197.05652724981306,-44.18756024700403,241.24409056806562,0.0,0.9245442152023315,-189.96825727295874,-32.79356024700403,241.24409056806562,0.0,-189.96825727295874,-208.94477713346478,67.97165013873577
1,val,2012-11-25 04:00:00,4.731000734090806,10.422454237461091,417.3208945302963,176.39691405415533,240.92399276113508,0.0,0.9904284477233887,-406.8984402928352,187.79091405415534,240.92399276113508,0.0,-406.8984402928352,374.02266579389567,67.8162081080675
1,val,2012-11-25 04:30:00,4.947999799072743,8.684618968486786,280.9882950739861,40.29413612544536,240.69416509103772,0.0,0.9537422060966492,-272.3036761054992,51.68813612544536,240.69416509103772,0.0,-272.3036761054992,14.602456915915011,67.73958045721054
1,val,2012-11-25 05:00:00,5.5659994997978215,9.558008340835572,297.8384667263031,57.38455312287807,240.45391974592206,0.0,0.9666327238082886,-288.2804583854675,68.77855312287807,240.45391974592206,0.0,-288.2804583854675,61.06440604925155,66.91921926200389
1,val,2012-11-25 05:30:00,4.718999830454589,7.627360089063645,202.9768870487213,-37.16569101983308,240.1425688548088,0.0,0.9282262325286865,-195.34952695965765,-25.771691019833085,240.1425688548088,0.0,-195.34952695965765,-187.89676156353948,66.41208856201172
1,val,2012-11-25 06:00:00,4.415999664098025,9.105208027362824,290.1899768037796,50.30132035005092,239.8886625962257,0.0,0.9713097810745239,-281.08476877641675,61.69532035005092,239.8886625962257,0.0,-281.08476877641675,44.27288910138606,65.72051096022128
1,val,2012-11-25 06:30:00,4.9870000485479835,2.5204880311489113,205.0160977935791,-43.01280154126882,248.02889626359936,0.0,0.9345411062240601,-202.49560976243018,-31.618801541268823,248.02889626359936,0.0,-202.49560976243018,-203.45644372296331,66.48285627067088
1,val,2012-11-25 07:00:00,5.240000288814307,3.2920225172042854,310.9839264101982,61.55097202551364,249.43294824218748,0.0,0.9767535924911499,-307.6919038929939,72.94497202551364,249.43294824218748,0.0,-307.6919038929939,70.96427470767497,67.60998605418204
1,val,2012-11-25 07:30:00,3.878999536514283,0.5714859981536874,174.2976665430069,-77.59396971094608,251.89164239645,0.0,0.9208900928497314,-173.72618054485318,-66.19996971094608,251.89164239645,0.0,-173.72618054485318,-300.77427284097666,70.20627214264869
1,val,2012-11-25 08:00:00,5.105000488370657,-1.45948151564598,85.30185215044021,-167.03738172197342,252.33923387241362,0.0,0.867333173751831,-86.76133366608619,-155.6433817219734,252.33923387241362,0.0,-86.76133366608619,-535.197341550827,69.04530334281921
1,val,2012-11-25 08:30:00,2.7589996564686308,-1.648817845106124,180.9743151502609,-72.15470256698131,253.12901157474514,0.0,0.9541101455688477,-182.62313299536703,-60.76070256698131,253.12901157474514,0.0,-182.62313299536703,-283.2797041068077,68.25510180819033
1,val,2012-11-25 09:00:00,3.1269997267425067,-4.594280321598052,201.73738028144837,-51.815795285463324,253.5531878519058,0.0,0.9509111046791077,-206.3316606030464,-40.421795285463325,253.5531878519058,0.0,-206.3316606030464,-229.47359199666974,68.20717190361022
1,val,2012-11-25 09:30:00,2.5080003346204767,-4.905213522911071,315.47554139232636,62.0066347426176,253.46891279220577,0.0,0.9804341197013855,-320.3807549152374,73.4006347426176,253.46891279220577,0.0,-320.3807549152374,69.42408042418955,69.32285207259655
1,val,2012-11-25 10:00:00,-0.678999714806675,-6.581869521141051,182.4018437526226,-71.1227200629711,253.5245638155937,0.0,0.9331778287887573,-188.98371327376364,-59.72872006297111,253.5245638155937,0.0,-188.98371327376364,-283.21289830875395,69.91520377683639
1,val,2012-11-25 10:30:00,-1.8540002813637246,-7.483637229919433,294.6699456114769,41.348010488986965,253.3219351224899,0.0,0.9784458875656128,-302.1535828413963,52.74201048898696,253.3219351224899,0.0,-302.1535828413963,14.458206514894961,69.56752001559734
1,val,2012-11-25 11:00:00,-3.2200002584606398,-9.695059022426603,213.90350480365754,-38.82035687857866,252.72385246849058,0.0,0.9499366879463196,-223.5985638260841,-27.42635687857866,252.72385246849058,0.0,-223.5985638260841,-196.8225100402832,69.25526617741583
1,val,2012-11-25 11:30:00,-3.7509999342262734,-4.957326467990874,257.80943498802185,7.82654284131527,249.9828982892036,0.0,0.9666115641593933,-262.7667614560127,19.220542841315268,249.9828982892036,0.0,-262.7667614560127,-73.95670271670818,69.480861667037
