epoch,train_loss,train_loss_next,train_weighted_loss_next,train_loss_ste,train_loss_seq,train_loss_weighted_seq,train_loss_fourier,train_weighted_loss_ste,train_loss_trend_smooth,train_weighted_loss_trend_smooth,train_loss_ae_y,train_weighted_loss_ae_y,train_loss_ae_resid,train_weighted_loss_ae_resid,train_loss_ru_mean,train_weighted_loss_ru_mean,train_loss_rw_ae,train_weighted_loss_rw_ae,train_loss_event_corr,train_weighted_loss_event_corr,train_loss_event_gate,train_weighted_loss_event_gate,train_loss_event_normal,train_weighted_loss_event_normal,train_event_mask_mean,train_event_gate_mean,train_event_corr_abs_mean,train_event_corr_abs_event_mean,train_event_corr_abs_normal_mean,val_loss,val_loss_next,val_weighted_loss_next,val_loss_ste,val_loss_seq,val_loss_weighted_seq,val_loss_fourier,val_weighted_loss_ste,val_loss_trend_smooth,val_weighted_loss_trend_smooth,val_loss_ae_y,val_weighted_loss_ae_y,val_loss_ae_resid,val_weighted_loss_ae_resid,val_loss_ru_mean,val_weighted_loss_ru_mean,val_loss_rw_ae,val_weighted_loss_rw_ae,val_loss_event_corr,val_weighted_loss_event_corr,val_loss_event_gate,val_weighted_loss_event_gate,val_loss_event_normal,val_weighted_loss_event_normal,val_event_mask_mean,val_event_gate_mean,val_event_corr_abs_mean,val_event_corr_abs_event_mean,val_event_corr_abs_normal_mean,val_MAE,val_MSE,val_RMSE,val_MAPE_percent,val_R2,best_val_RMSE,val_share_S_abs,val_share_S_dyn_abs,val_share_S_energy,val_share_Rw_abs,val_share_Rw_dyn_abs,val_share_Rw_energy,val_share_Ru_abs,val_share_Ru_dyn_abs,val_share_Ru_energy,val_share_Event_abs,val_share_Event_dyn_abs,val_share_Event_energy
1,14.276072270548903,5.175247794321494,5.175247794321494,8.922656422097784,1.7163283590171572,1.7163283590171572,73.77960799532447,8.922656422097784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7159112132539756,0.17159112425191084,0.3271650363253997,0.006543300571781534,0.0033713625949112536,3.371362516677341e-05,0.9997333608661563,0.7465527270820494,2.575866153995988,2.5758666051275165,2.577334945671989,0.09163978564253966,0.030742374499158193,0.030742374499158193,0.05864340576776711,0.010548164522970601,0.010548164522970601,0.49150057665763364,0.05864340576776711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010544221368997419,0.0010544221538702704,0.05436665912698124,0.0010873331449076122,0.011224986722094855,0.00011224986471046376,0.999673021828524,0.9487297995482356,5.343883423578172,5.343798243321948,5.553665595486783,3.9292924244645655,27.213941436734657,5.216698327173487,158.83839181866256,0.277300382476272,5.216698327173487,0.12934212379851087,0.48230556324269613,0.06008232493851384,0.4112357029355047,0.033586306085976354,0.39755417918114333,0.0,0.0,0.0,0.45942217326598267,0.4841081306713204,0.5423634958803427
2,0.040414882156883755,0.014491983317965279,0.014491983317965279,0.02438360233587043,0.0054870442400081505,0.0054870442400081505,0.19445262256248932,0.02438360233587043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005484248547473654,0.0005484248640489211,0.04545928967774821,0.0009091857747851454,0.00816856956642381,8.168569393938725e-05,0.9997332667082177,0.9568432813304195,5.224156281657255,5.224138613987285,5.2891229734814305,0.022679405492914986,0.008631930146480806,0.008631930146480806,0.0127532416210723,0.0031959505436281043,0.0031959505436281043,0.09876885963246203,0.0127532416210723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003194053153065355,0.0003194053260449995,0.04264415890985553,0.0008528831526823055,0.012194525446176253,0.00012194525147403752,0.999673021828524,0.9598040610963848,5.463872377041115,5.46372808875393,5.870545328670566,1.966662903832567,7.641704616031618,2.7643633292372436,90.69583689659177,0.7970651544145452,2.7643633292372436,0.13998843721605098,0.4279810290016274,0.0686178316977698,0.3868832946967066,0.12651973259127378,0.3591121745259496,0.0,0.0,0.0,0.4731282680872407,0.4454992384070914,0.5722699937762806
3,0.014853955167628335,0.006356803017065263,0.006356803017065263,0.007549365164154702,0.002258137661984347,0.002258137661984347,0.055170412135108024,0.007549365164154702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022562347092447586,0.00022562347426243858,0.03069220615161156,0.0006138441116714185,0.01083193233860568,0.0001083193207688465,0.9997332624021841,0.9710412721371405,5.831683149234901,5.83161398222081,6.078747566936726,0.010455649213782425,0.0051337114160454125,0.0051337114160454125,0.0044458930519410906,0.0015232087945931815,0.0015232087945931815,0.030750051060671448,0.0044458930519410906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001522322989336448,0.0001522323004380133,0.02843271718344747,0.0005686543320381468,0.01551581423632377,0.00015515813882473051,0.999673021828524,0.9735156443261881,6.132033121750651,6.131897393825783,6.510374176154305,1.5225453057196565,4.544850012152469,2.131865383215476,69.47257946483981,0.8793059295317053,2.131865383215476,0.15430906482988613,0.41303382781142506,0.07744140975291927,0.3615336261145937,0.14454490534055986,0.3226122491390096,0.0,0.0,0.0,0.48415730905551846,0.4424212668480066,0.5999463411080712
4,0.011205778416598063,0.0050642593399096575,0.0050642593399096575,0.005390342157299938,0.001583501196377993,0.001583501196377993,0.039651910288025075,0.005390342157299938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001582225615750863,0.00015822256499905006,0.022919421656031558,0.00045838842186795393,0.01345659799743523,0.00013456597713493225,0.99973326379022,0.9786636246372769,6.391649021779787,6.391573953563822,6.668219127850773,0.008574758089804155,0.0043069210884157,0.0043069210884157,0.0035520237187401443,0.001154693841312607,0.001154693841312607,0.025127992481737183,0.0035520237187401443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001153835109681801,0.0001153835133040866,0.02109408818940688,0.00042188175628104813,0.017854806158788927,0.00017854805689774663,0.999673021828524,0.9807241984776088,6.511406317650814,6.511269868976693,6.906244415658227,1.42944880569039,3.8131984392878926,1.9527412627606078,80.57832780103541,0.8987358350857795,1.9527412627606078,0.15332734751214036,0.3817939998477678,0.06939660630819583,0.36015312705276226,0.1899596203365528,0.3261813753829823,0.0,0.0,0.0,0.48651952543509575,0.4282463798156683,0.6044220183088219
5,0.017462139998211345,0.006482913976482733,0.006482913976482733,0.010273435780546169,0.0018160409422118182,0.0018160409422118182,0.08638998813142855,0.010273435780546169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018150121007754602,0.00018150121343941716,0.01938791868626187,0.0003877583649895838,0.013653068195375257,0.0001365306789553865,0.9997332702804941,0.9821209593307666,6.378799831679592,6.378717386129598,6.680632812879136,0.008088085169513379,0.004666564992547448,0.004666564992547448,0.0027346390488338637,0.0009236421042476737,0.0009236421042476737,0.019033611496014895,0.0027346390488338637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009231769866789312,9.231770103062345e-05,0.022493571764038454,0.0004498714269260474,0.014469192417684696,0.00014469192180517536,0.999673021828524,0.9793167344069884,5.839845678590227,5.839716689377886,6.219110097753288,1.4612140271545622,4.1309882676153835,2.032483276097342,68.62918452562148,0.8902965361360436,1.9527412627606078,0.10095610351597699,0.32139545797909164,0.02840743528668325,0.41382943979314163,0.2728382195084838,0.4080479014994335,0.0,0.0,0.0,0.48521445669087937,0.4057663225124071,0.5635446632138833
6,0.012299893099192752,0.005095993253813177,0.005095993253813177,0.006567158288911315,0.0012987838616252674,0.0012987838616252674,0.053982527530457736,0.006567158288911315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001298025486896828,0.0001298025511481273,0.019848788038419864,0.00039697575136050803,0.010996312279303252,0.00010996312068383813,0.9997332656423538,0.9816453688799871,5.731395666515878,5.7313092882657,6.049224960164468,0.008483442781169751,0.003413053910775874,0.003413053910775874,0.004452727894912461,0.0009595408818231017,0.0009595408818231017,0.03589141047266405,0.004452727894912461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009588625517383378,9.588625660667213e-05,0.019702898058038886,0.00039405794800817105,0.012771682929642465,0.0001277168255983158,0.999673021828524,0.9820494157378026,5.543158636664465,5.5430274141548965,5.932157420526085,1.2744511554346303,3.021740585843106,1.7383154448612328,71.46600040057287,0.9197539698275043,1.7383154448612328,0.11559339194598979,0.19417816244735153,0.03323050979273467,0.39962413390183077,0.4019899710309807,0.3917149739985615,0.0,0.0,0.0,0.48478247415217757,0.40383186652164155,0.5750545162087037
7,0.007472182563856558,0.0037468347650794014,0.0037468347650794014,0.003190774242366285,0.0008477763032091084,0.0008477763032091084,0.024277755316343068,0.003190774242366285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008472453348153679,8.472453516780845e-05,0.01743070925259163,0.00034861417631027467,0.010123479793202468,0.00010123479529421847,0.9997332658595005,0.9840328568409894,5.533158513833578,5.533070042799986,5.865574551391656,0.008320549321282202,0.00436647988379448,0.00436647988379448,0.00340013890620178,0.0008012542584066933,0.0008012542584066933,0.026790100259966747,0.00340013890620178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008007107612272058,8.007107741249863e-05,0.017468552861917768,0.00034937104735110016,0.01244886548039482,0.00012448865208312005,0.999673021828524,0.9842892189362814,5.4691209507428,5.4689861156973425,5.866314918031708,1.538154995082284,3.865964153940581,1.966205521795873,90.26868757169215,0.8973345767679972,1.7383154448612328,0.09545586527516776,0.15726631997474538,0.02195706234031458,0.42117009177777787,0.43627540936255177,0.422725569732986,0.0,0.0,0.0,0.4833740429470524,0.406458270662674,0.5553173679266995
8,0.009296829393303167,0.004296723194025606,0.004296723194025606,0.0044967440485260265,0.0009499246948730956,0.0009499246948730956,0.0364181178255801,0.0044967440485260265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009494467850346177,9.494468022386356e-05,0.015496683896982699,0.00030993367057297603,0.00984837715173271,9.84837693655099e-05,0.9997332653116663,0.9859625439015185,5.4579867456352,5.4578992361443,5.782562943791527,0.008577511060021577,0.0041968796156152234,0.0041968796156152234,0.0038523823219550326,0.0008266119964344973,0.0008266119964344973,0.031084315170363714,0.0038523823219550326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000826087122577058,8.26087145131409e-05,0.01636747043928884,0.0003273493998194723,0.011829105951893393,0.00011829105729568741,0.999673021828524,0.985389603264687,5.324153526587421,5.324023012375136,5.709865907736455,1.500610400057125,3.7157622903225,1.9276312640965596,86.00594174089532,0.9013233716156855,1.7383154448612328,0.09285766407697653,0.16644248700830686,0.02075805212585179,0.42397516695490833,0.43406551689326245,0.4266364113551606,0.0,0.0,0.0,0.48316716896811324,0.3994919960984014,0.5526055365189876
9,0.008592239962740613,0.003902557131722096,0.003902557131722096,0.004193120681018721,0.0009088079346558582,0.0009088079346558582,0.03375193507084578,0.004193120681018721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009083653292654506,9.083653438308793e-05,0.015554495439374939,0.0003110899022472346,0.0094635748910007,9.463574690849063e-05,0.999733269312559,0.9859200283570281,5.294016164924587,5.293927113584136,5.621421244364879,0.005962258544585992,0.00314302679427403,0.00314302679427403,0.0023047208647242246,0.0006580209261530327,0.0006580209261530327,0.01712502003683152,0.0023047208647242246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006577480669682716,6.577480816319527e-05,0.016674729699294687,0.0003334945882759994,0.011524146339768821,0.00011524146122943049,0.999673021828524,0.9851054512593787,5.184611260433168,5.184479002945251,5.5774938954003215,1.1992268156783532,2.7824832033773785,1.6680776970445288,67.17822022781597,0.9261077432858504,1.6680776970445288,0.07138680919325577,0.15646194665793056,0.011961364591406329,0.44511119277010636,0.45041215585828326,0.45394445207485906,0.0,0.0,0.0,0.48350199803663574,0.3931258974837555,0.5340941833337346
10,0.008074731873680772,0.003815847100565334,0.003815847100565334,0.003771596921310118,0.0008519091051240242,0.0008519091051240242,0.03004878693707918,0.003771596921310118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008515285928310862,8.515286069349784e-05,0.015441833264142205,0.0003088366583614311,0.009329836267428789,9.329836048018048e-05,0.9997332678563987,0.9860491090539916,5.182834471509943,5.182742961500958,5.5250541755953675,0.007459231894091344,0.003941822791695251,0.003941822791695251,0.0030150462611479695,0.0007280053754341424,0.0007280053754341424,0.023598414034612717,0.0030150462611479695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007275130805207528,7.275131015103816e-05,0.015714899469424504,0.0003142979831331783,0.011531366968095395,0.00011531366677101795,0.999673021828524,0.9860819616625386,5.126854043951782,5.1267196286109185,5.5277255332231885,1.4349491454051602,3.4899690757059463,1.8681458925110603,86.04989370514234,0.9073195875707389,1.6680776970445288,0.05232483226751429,0.15262718820289847,0.006367134726467621,0.4662269689379359,0.4563964489633524,0.4814901652480995,0.0,0.0,0.0,0.48144819879454764,0.3909763628337179,0.5121427000254328
