epoch,train_loss,val_loss,val_r2
1,0.07501776406237047,0.01010070976661277,0.8638726472854614
2,0.004675668842460773,0.004329660411075549,0.9416491389274597
3,0.0032637320369841246,0.004420146292743579,0.9404296278953552
4,0.0028229417153068552,0.0029904313839084124,0.959697961807251
5,0.0025712906198250398,0.002558073212470015,0.9655248522758484
6,0.0024295263722516076,0.0024718494324120466,0.9666868448257446
7,0.002323283742841748,0.0030851193382100024,0.9584218263626099
8,0.002323339456663904,0.0030866135941886984,0.9584016799926758
9,0.0023064583362368664,0.002343385440109409,0.9684181809425354
10,0.0022909080441379393,0.0030236641064642247,0.9592500329017639
11,0.0023086801555080253,0.0024870490937505714,0.9664820432662964
12,0.002231196139321934,0.002392566859955549,0.9677553772926331
13,0.0022413254301204668,0.0022850169192029494,0.9692047834396362
14,0.002206234270313837,0.0023767922696986505,0.9679679274559021
15,0.0021922557703702825,0.002307120405532158,0.9689069390296936
16,0.002230170803010094,0.0023832059044859525,0.9678815007209778
17,0.002209874429788259,0.002259204311638061,0.9695526957511902
18,0.002221865767964413,0.002283103383825193,0.969230592250824
19,0.002198354636728074,0.0024514074141177167,0.9669623374938965
20,0.002198017179202529,0.0023073297158350825,0.9689040780067444
