experiment,aggregation_method,save_dir,rounds,local_epochs,early_stop_patience,best_round,best_avg_client_val_RMSE,regional_MAE,regional_MSE,regional_RMSE,regional_MAPE_percent,regional_R2,avg_client_MAE,avg_client_MSE,avg_client_RMSE,avg_client_MAPE_percent,avg_client_R2,h2a_num_refs,h2a_gamma,h2a_meta_lr,h2a_warmup_use_all_clients,h2a_feature_param_prefixes,h2a_head_param_prefixes,last_h2a_alpha_mean,mean_h2a_alpha_mean,last_h2a_alpha_min,mean_h2a_alpha_min,last_h2a_alpha_max,mean_h2a_alpha_max,last_h2a_distance_mean,mean_h2a_distance_mean,last_h2a_meta_loss_mean,mean_h2a_meta_loss_mean
01_fedavg_same_setting,fedavg,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\01_fedavg_same_setting,20,1,6,18,1.1645820541473642,3.447342872619629,21.157085418701172,4.59968318677506,4.410809278488159,0.9781840443611145,0.9880178372065226,1.7544895278082953,1.309469594547413,11.7510753373305,0.8748548958036635,,,,,,,,,,,,,,,,
02_h2a_refs9_attn_feature,h2a,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\02_h2a_refs9_attn_feature,20,1,6,6,1.315972905032644,4.347594738006592,32.50836944580078,5.701611127199117,5.6251224130392075,0.9664792418479919,1.0816708869404263,2.0574768251842923,1.4170965273026168,13.102848248349297,0.8538234300083585,9.0,0.1,0.001,True,"conv1,conv2,lstm1,lstm2,attention","fc1,fc2",0.5457038482030233,0.5738625410530301,0.5394454598426819,0.5637755592664083,0.5500532388687134,0.5837359428405762,1.833351967038506,3.2123485661278157,2.4506521887249417,3.0246133230350636
03_h2a_refs5_attn_feature,h2a,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\03_h2a_refs5_attn_feature,20,1,6,6,1.3501961273344836,4.7737507820129395,37.799564361572266,6.148135031175898,6.30609318614006,0.9610232710838318,1.10852802462048,2.144092175695631,1.444076398621531,13.35687968466017,0.8485787179734972,5.0,0.1,0.001,True,"conv1,conv2,lstm1,lstm2,attention","fc1,fc2",0.5416021082136366,0.5734657043660129,0.5344850420951843,0.5598330994447073,0.5494048595428467,0.5889698415994644,1.6680428468829227,3.1633697149890154,2.673168698946635,3.0307636691464315
04_h2a_refs3_attn_feature,h2a,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\04_h2a_refs3_attn_feature,20,1,6,10,1.285140226812841,4.134272575378418,28.673006057739258,5.354718111884066,5.429600924253464,0.9704340100288391,1.0397932330767314,1.9093266328175862,1.3680393249224054,12.430768542819553,0.8641361130608453,3.0,0.1,0.001,True,"conv1,conv2,lstm1,lstm2,attention","fc1,fc2",0.5408646133210924,0.5675740569002099,0.5338772535324097,0.5485812798142433,0.5470524430274963,0.5952405110001564,1.63836859248059,2.8473761337123102,3.004214604695638,3.013659993807475
05_h2a_refs5_attn_head,h2a,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\05_h2a_refs5_attn_head,20,1,6,17,1.2323461699583953,3.6833784580230713,23.5877685546875,4.856724055851588,4.727114737033844,0.9756776094436646,1.0204004910257127,1.8557584153281317,1.3482214103704924,12.179380903641382,0.8690774175855849,5.0,0.1,0.001,True,"conv1,conv2,lstm1,lstm2","attention,fc1,fc2",0.5499103731579251,0.5627622796429528,0.545409619808197,0.5496516674757004,0.5585901737213135,0.5739629179239273,2.003221442199881,2.6498790052977226,2.800817860497369,2.8294992430342565
06_h2a_refs5_fc2_only_head,h2a,C:\Users\Lenovo\Downloads\federated_load_forecasting\runs\gc_h2a_sweep\06_h2a_refs5_fc2_only_head,20,1,6,10,1.2584918413717316,4.0409321784973145,27.407005310058594,5.23517003640365,5.396013334393501,0.9717394709587097,1.03665292263031,1.8729103008906047,1.357034062827834,12.888900935649872,0.8660756084654067,5.0,0.1,0.001,True,"conv1,conv2,lstm1,lstm2,attention,fc1",fc2,0.5547887418005202,0.5698454777399699,0.5487360954284668,0.5554073303937912,0.5611734390258789,0.5850679725408554,2.2005475407135644,2.9522239324164716,2.450125144587622,2.9686585805482335
