epoch,train_loss,val_loss,val_MAE,val_MSE,val_RMSE,val_MAPE_percent,val_R2,best_val_RMSE
1,0.015540271134535025,0.0022984788529202913,1.5725075006484985,4.5839409828186035,2.141014008085562,19.21122968196869,0.6218944787979126,2.141014008085562
2,0.0020193233417210603,0.0016500122476613775,1.2793216705322266,3.290680408477783,1.8140232656936304,15.067388117313385,0.7285688519477844,1.8140232656936304
3,0.0014725721255740918,0.00134390651408623,1.1122803688049316,2.6802024841308594,1.637132396640803,11.564788222312927,0.7789239883422852,1.637132396640803
4,0.0012502135509438977,0.0009436202309732419,0.9894021153450012,1.881896734237671,1.371822413520668,11.049365997314453,0.8447721004486084,1.371822413520668
5,0.0011078936440859432,0.0009119073343899576,1.0332884788513184,1.8186503648757935,1.3485734554987332,12.363012880086899,0.8499889373779297,1.3485734554987332
6,0.001069144961360039,0.00083265875756938,0.9380805492401123,1.6606022119522095,1.288643555042359,10.539188981056213,0.8630255460739136,1.288643555042359
7,0.0010445835689997455,0.0007729421509394047,0.9276993274688721,1.5415072441101074,1.2415745020376778,10.849465429782867,0.8728490471839905,1.2415745020376778
8,0.0009687301220177082,0.0010771535205713455,1.0699901580810547,2.148207187652588,1.4656763584272579,11.361624300479889,0.8228055238723755,1.2415745020376778
9,0.0009602205117176793,0.0007691587751177633,0.937823474407196,1.5339616537094116,1.2385320559878181,11.11241802573204,0.8734714388847351,1.2385320559878181
10,0.0009408575799114257,0.0008814478193455521,1.0178451538085938,1.757904052734375,1.325859740973522,12.31241524219513,0.8549996018409729,1.2385320559878181
11,0.0009263742712963707,0.0008249429266287526,1.0000331401824951,1.6452142000198364,1.2826590349815639,12.242089956998825,0.8642948269844055,1.2385320559878181
12,0.0009057846549156113,0.0007250006040615443,0.8967478275299072,1.4458954334259033,1.2024539215395753,10.448923707008362,0.8807355761528015,1.2024539215395753
13,0.0009218336057137802,0.0007446604191980821,0.8816468119621277,1.4851038455963135,1.2186483683147955,9.622570872306824,0.8775014877319336,1.2024539215395753
14,0.000926914177556347,0.0006937108688577208,0.8690270781517029,1.383493185043335,1.176219871045943,9.916222095489502,0.8858828544616699,1.176219871045943
15,0.0008878809600611628,0.0007097753302727793,0.9110045433044434,1.415531039237976,1.1897609168391674,10.928201675415039,0.8832401633262634,1.176219871045943
16,0.0008953606688792955,0.0009696277120606988,1.0652451515197754,1.9337642192840576,1.3905985111756942,12.908515334129333,0.8404937982559204,1.176219871045943
17,0.0008750438487741473,0.0008058024986293711,0.9171536564826965,1.607041597366333,1.2676914440692313,9.948036819696426,0.8674434423446655,1.176219871045943
18,0.0008807746633461691,0.0008488244005298663,1.0277810096740723,1.69284188747406,1.3010925745211446,12.756332755088806,0.8603662252426147,1.176219871045943
19,0.0008779299209648087,0.000676933147128351,0.8550354838371277,1.3500328063964844,1.161909121401706,9.72607433795929,0.8886427879333496,1.161909121401706
20,0.0008659899951896985,0.0006970857407221035,0.8593619465827942,1.3902238607406616,1.1790775465340104,9.661412984132767,0.8853276371955872,1.161909121401706
