round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,h2a_num_refs,h2a_reference_summary,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.011023390063607424,0.0018343725272153134,0.011023390063607424,0.0,0.0,0.011023390063607424,0.0,0.0,,0.0,0.0,353.0,0.0,0.5,0.5,0.5,0.0,1.8659581078423395,5,"client_1->[1, 2, 3, 4, 5, 6, 7, 8, 9]; client_2->[2, 1, 3, 4, 5, 6, 7, 8, 9]; client_3->[3, 1, 2, 4, 5, 6, 7, 8, 9]; client_4->[4, 1, 2, 3, 5, 6, 7, 8, 9]; client_5->[5, 1, 2, 3, 4, 6, 7, 8, 9]; client_6->[6, 1, 2, 3, 4, 5, 7, 8, 9]; client_7->[7, 1, 2, 3, 4, 5, 6, 8, 9]; client_8->[8, 1, 2, 3, 4, 5, 6, 7, 9]; client_9->[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.0030073142266568795,13.129814147949219,283.2185363769531,16.829097907402915,18.179988861083984,0.6761937141418457,1.8405053350660536,6.097754610909356,2.401648933714263,0.5549802846378751,5211
2,9,0.0015886603642500873,0.0012574622650565954,0.0015886603642500873,0.0,0.0,0.0015886603642500873,0.0,0.0,,0.0,0.0,353.0,0.0,0.8122448788748847,0.7498937845230103,0.8810634613037109,14.923446937352939,1.9814208216137357,5,"client_1->[1, 4, 3, 8, 6]; client_2->[2, 6, 8, 4, 3]; client_3->[3, 1, 6, 9, 4]; client_4->[4, 3, 6, 8, 1]; client_5->[5, 1, 8, 2, 6]; client_6->[6, 8, 4, 2, 9]; client_7->[7, 4, 3, 9, 1]; client_8->[8, 4, 3, 6, 1]; client_9->[9, 4, 6, 3, 1]",0.0013834397022393814,5.968236446380615,82.70940399169922,9.094471067175881,7.455667108297348,0.9054375886917114,1.1854314936531916,2.8556939363479614,1.6412577455951909,0.7951363126436869,5211
3,9,0.001277852116262571,0.0011019719922355006,0.001277852116262571,0.0,0.0,0.001277852116262571,0.0,0.0,,0.0,0.0,353.0,0.0,0.6450640559196472,0.6103028655052185,0.6995953917503357,5.996019273402634,3.419224262237549,5,"client_1->[1, 4, 3, 8, 6]; client_2->[2, 6, 4, 8, 3]; client_3->[3, 1, 4, 6, 2]; client_4->[4, 3, 9, 2, 7]; client_5->[5, 1, 8, 6, 2]; client_6->[6, 1, 5, 3, 7]; client_7->[7, 4, 3, 9, 1]; client_8->[8, 3, 4, 6, 1]; client_9->[9, 4, 3, 6, 1]",0.001163727593804577,5.273633003234863,55.51576614379883,7.450890292025432,6.765732169151306,0.9365283250808716,1.1264401078224182,2.3313099675708346,1.4947450946471774,0.8257075217035081,5211
4,9,0.0011203719545776747,0.0009422672059256331,0.0011203719545776747,0.0,0.0,0.0011203719545776747,0.0,0.0,,0.0,0.0,353.0,0.0,0.5867062012354533,0.5770938396453857,0.5965480804443359,3.504159509532231,4.309284475114611,5,"client_1->[1, 3, 4, 8, 6]; client_2->[2, 3, 6, 4, 8]; client_3->[3, 8, 5, 9, 7]; client_4->[4, 3, 5, 6, 8]; client_5->[5, 1, 6, 8, 2]; client_6->[6, 3, 4, 5, 8]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 9]; client_9->[9, 3, 4, 6, 1]",0.000993875139689393,4.492104530334473,41.049678802490234,6.40700232577531,5.7181790471076965,0.9530675411224365,1.0246464080280728,1.9943265583780077,1.382523948102005,0.8491923544141982,5211
5,9,0.0010466744575564461,0.0008985829389154949,0.0010466744575564461,0.0,0.0,0.0010466744575564461,0.0,0.0,,0.0,0.0,353.0,0.0,0.5503798127174377,0.5425345301628113,0.567660391330719,2.0224834921142447,3.901266098022461,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 4, 6, 1, 2]; client_4->[4, 3, 1, 5, 6]; client_5->[5, 6, 8, 1, 3]; client_6->[6, 3, 4, 5, 1]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 1]; client_9->[9, 3, 4, 6, 1]",0.0010042037969085584,4.613994598388672,39.739219665527344,6.30390511235118,6.061984598636627,0.9545658230781555,1.04789133866628,1.9579110609160528,1.3742812735634915,0.8476047118504842,5211
6,9,0.0010079954275846934,0.0008374257807188513,0.0010079954275846934,0.0,0.0,0.0010079954275846934,0.0,0.0,,0.0,0.0,353.0,0.0,0.5403304762310452,0.5318572521209717,0.5466715097427368,1.6168826692268743,3.445689731174045,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 5, 8, 4, 9]; client_4->[4, 3, 6, 2, 9]; client_5->[5, 3, 6, 8, 4]; client_6->[6, 3, 4, 2, 8]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 1]",0.0009573003593749645,4.49216890335083,37.32870864868164,6.109722469039133,5.877408012747765,0.9573217630386353,1.019795662826962,1.8997863133748372,1.3501961273344836,0.8562079270680746,5211
7,9,0.0009705113987875462,0.0008579016007507003,0.0009705113987875462,0.0,0.0,0.0009705113987875462,0.0,0.0,,0.0,0.0,353.0,0.0,0.5372524658838908,0.5311101675033569,0.5430143475532532,1.4929168968513196,3.1620568964216442,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 7, 6, 1, 2]; client_4->[4, 3, 6, 7, 8]; client_5->[5, 3, 6, 4, 7]; client_6->[6, 3, 4, 7, 5]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 1]",0.00104402714220377,5.49251127243042,50.43113708496094,7.101488371106506,7.3998428881168365,0.9423416256904602,1.0818449192576938,1.9712196588516235,1.3865139110971798,0.8419235017564561,5211
8,9,0.0009436034956504274,0.0007951388781333633,0.0009436034956504274,0.0,0.0,0.0009436034956504274,0.0,0.0,,0.0,0.0,353.0,0.0,0.5400225652588738,0.53334641456604,0.5425282716751099,1.6043854366134231,3.086394468943278,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 4, 5, 8, 6]; client_4->[4, 3, 6, 5, 1]; client_5->[5, 3, 6, 4, 9]; client_6->[6, 3, 4, 9, 1]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 5]",0.000960920471079964,5.146550178527832,43.94091033935547,6.6287940335596085,7.013753056526184,0.9497619867324829,1.0295959247483149,1.9640434715482924,1.362522986865497,0.8562885522842407,5211
9,9,0.0009264686901202771,0.0007995171770797396,0.0009264686901202771,0.0,0.0,0.0009264686901202771,0.0,0.0,,0.0,0.0,353.0,0.0,0.5423570672671,0.5367818474769592,0.5468873977661133,1.6983987018512885,2.9019219080607095,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 9, 7, 4, 2]; client_4->[4, 3, 6, 2, 9]; client_5->[5, 3, 6, 4, 9]; client_6->[6, 3, 4, 5, 8]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 5]",0.0009789390840857118,4.971781253814697,43.14812088012695,6.568722926119426,6.6255345940589905,0.9506683945655823,1.0338683724403381,2.008017407523261,1.3733217162037048,0.8544856044981215,5211
10,9,0.0009139610187447197,0.0007461842243023758,0.0009139610187447197,0.0,0.0,0.0009139610187447197,0.0,0.0,,0.0,0.0,353.0,0.0,0.5431392325295342,0.5352219939231873,0.5481342077255249,1.7299540330106136,2.933650506867303,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 1, 6, 5, 8]; client_4->[4, 3, 6, 7, 5]; client_5->[5, 3, 6, 4, 9]; client_6->[6, 3, 4, 2, 7]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 5]",0.0009898547548865245,4.622106552124023,36.928401947021484,6.076874356692056,6.227273121476173,0.9577794075012207,1.049754758675893,1.937794844309489,1.366995808555187,0.8514428602324592,5211
11,9,0.0009053032282670998,0.0007579031229818024,0.0009053032282670998,0.0,0.0,0.0009053032282670998,0.0,0.0,,0.0,0.0,353.0,0.0,0.5424895882606506,0.5353694558143616,0.5461301803588867,1.703746783029702,2.6891280545128717,5,"client_1->[1, 3, 4, 6, 8]; client_2->[2, 3, 4, 6, 8]; client_3->[3, 9, 4, 7, 2]; client_4->[4, 3, 6, 8, 1]; client_5->[5, 3, 6, 4, 9]; client_6->[6, 3, 4, 9, 1]; client_7->[7, 3, 4, 9, 1]; client_8->[8, 3, 4, 6, 5]; client_9->[9, 3, 4, 6, 5]",0.0010084938598622292,5.405466079711914,46.713016510009766,6.834692129862892,7.614640891551971,0.9465925693511963,1.0686764121055603,2.0534078809950085,1.392472456990002,0.8504437539312575,5211
