round,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,avg_local_train_loss,avg_local_val_loss,avg_client_val_RMSE,regional_val_RMSE
1,0.5,0.5,0.5,0.0,1.8659581078423395,0.011023390063607424,0.0018343725272153134,2.401648933714263,16.829097907402915
2,0.8122448788748847,0.7498937845230103,0.8810634613037109,14.923446937352939,1.9814208216137357,0.0015886603642500873,0.0012574622650565954,1.6412577455951909,9.094471067175881
3,0.6450640559196472,0.6103028655052185,0.6995953917503357,5.996019273402634,3.419224262237549,0.001277852116262571,0.0011019719922355006,1.4947450946471774,7.450890292025432
4,0.5867062012354533,0.5770938396453857,0.5965480804443359,3.504159509532231,4.309284475114611,0.0011203719545776747,0.0009422672059256331,1.382523948102005,6.40700232577531
5,0.5503798127174377,0.5425345301628113,0.567660391330719,2.0224834921142447,3.901266098022461,0.0010466744575564461,0.0008985829389154949,1.3742812735634915,6.30390511235118
6,0.5403304762310452,0.5318572521209717,0.5466715097427368,1.6168826692268743,3.445689731174045,0.0010079954275846934,0.0008374257807188513,1.3501961273344836,6.109722469039133
7,0.5372524658838908,0.5311101675033569,0.5430143475532532,1.4929168968513196,3.1620568964216442,0.0009705113987875462,0.0008579016007507003,1.3865139110971798,7.101488371106506
8,0.5400225652588738,0.53334641456604,0.5425282716751099,1.6043854366134231,3.086394468943278,0.0009436034956504274,0.0007951388781333633,1.362522986865497,6.6287940335596085
9,0.5423570672671,0.5367818474769592,0.5468873977661133,1.6983987018512885,2.9019219080607095,0.0009264686901202771,0.0007995171770797396,1.3733217162037048,6.568722926119426
10,0.5431392325295342,0.5352219939231873,0.5481342077255249,1.7299540330106136,2.933650506867303,0.0009139610187447197,0.0007461842243023758,1.366995808555187,6.076874356692056
11,0.5424895882606506,0.5353694558143616,0.5461301803588867,1.703746783029702,2.6891280545128717,0.0009053032282670998,0.0007579031229818024,1.392472456990002,6.834692129862892
12,0.5416021082136366,0.5344850420951843,0.5494048595428467,1.6680428468829227,2.673168698946635,0.0008912944410018024,0.000784567944297473,1.3875522304265575,6.982082323474662
