epoch,train_loss,train_gc_loss,train_gg_loss,train_net_loss,val_loss,val_gc_loss,val_gg_loss,val_net_loss,val_net_MAE,val_net_MSE,val_net_RMSE,val_net_MAPE_percent,val_net_R2,val_gc_RMSE,val_gg_RMSE,best_val_net_RMSE
1,54.04884051329682,46.074660143647975,15.948360640767001,76.039512509655,25.09340205097345,16.004921010013,18.17696239395259,34.036227259950884,4.383917331695557,34.03622817993164,5.834057608554414,98.94299507141113,0.09518986940383911,4.000615072644787,4.26344506310945,5.834057608554414
2,26.981291070411235,19.817644469377004,14.327293184480999,40.56762277119148,25.111620098764448,15.978580088110014,18.266079927552862,33.96841368550712,4.458462715148926,33.968414306640625,5.8282428146604035,126.84516906738281,0.0969926118850708,3.9973214240919983,4.273883356968766,5.8282428146604035
3,26.977224114582867,19.800974914941726,14.352498398691875,40.57036466335323,25.080011276971724,15.988407077144734,18.183208711685673,34.08010995516213,4.474343776702881,34.08011245727539,5.8378174395295535,120.24705410003662,0.09402328729629517,3.9985506292917896,4.2641773492171,5.8282428146604035
4,24.825377542807875,17.767411968482488,14.115931020758449,37.67087356852961,17.848931851658037,10.193164884036953,15.311533946961669,18.758731455297514,3.0462265014648438,18.758729934692383,4.331134947642751,90.08379578590393,0.501322865486145,3.1926736171177055,3.9129955185148733,4.331134947642751
5,9.480676699051429,7.00856740405952,4.944218542603256,9.97187410680658,9.559447732389248,7.592461333846167,3.933972830230373,5.671572236970823,1.6187031269073486,5.671572208404541,2.3815062898099892,116.669762134552,0.8492284417152405,2.7554420030775857,1.983424522269696,2.3815062898099892
6,5.529294249119979,4.109319191834874,2.839950122711082,4.995315316955507,7.1247543145984,5.026837011636127,4.195834652802545,4.5423011486797655,1.4471648931503296,4.542301177978516,2.1312675050257104,83.49506258964539,0.8792486786842346,2.2420608537907327,2.0483736565109973,2.1312675050257104
7,4.251020622494124,3.1099884935534305,2.282064232448256,3.8681780415029556,6.456108604158674,4.0686815273926555,4.774854165251537,5.37094545291133,1.5781008005142212,5.370945453643799,2.3175300329540067,93.63681077957153,0.8572201728820801,2.0170973493906894,2.185143973104981,2.1312675050257104
8,3.732713711921137,2.696072534944062,2.0732823438546992,3.4744499636839765,6.118119525836177,4.588321705201437,3.0595957740294404,4.412952441041187,1.4995248317718506,4.412952423095703,2.100702840264587,85.19707322120667,0.8826872110366821,2.1420368077582177,1.7491700384147804,2.100702840264587
9,3.412440898506591,2.4577963469888373,1.90928909689579,3.283970580168116,6.58679401306879,5.081823594009822,3.0099408811504755,5.720487916890743,1.610896110534668,5.72048807144165,2.3917541829046,86.25447154045105,0.8479280471801758,2.2542899877786406,1.7349181141067263,2.100702840264587
10,3.195599209147612,2.3154441883136117,1.7603100477154658,3.088416512802669,5.052875270858155,3.820484989799113,2.4647804449230843,4.125366624049876,1.438032627105713,4.125366687774658,2.031099871442726,74.13511276245117,0.8903323411941528,1.9546061278557554,1.5699618882819923,2.031099871442726
11,3.108904232912854,2.2747614186193346,1.6682856415988099,3.0312101693767297,4.485935860698308,3.337058338335216,2.2977549451104324,3.590235648982902,1.3310822248458862,3.590235710144043,1.8947917326566641,78.73032689094543,0.9045581221580505,1.8267617644780436,1.5158347545083746,1.8947917326566641
12,2.8907424359672778,2.1021817351425334,1.57712140344769,2.884372241433684,3.4993977568665957,2.504603344266133,1.9895888134814261,2.7207883990122244,1.152768611907959,2.7207887172698975,1.6494813479605939,66.2697434425354,0.9276712536811829,1.5825938790243355,1.4105278223019186,1.6494813479605939
13,2.7428304028998705,2.019313005665091,1.4470347795716414,2.7371304256931883,3.3824582854357366,2.4223263278351768,1.9202639034816198,2.6358896514054635,1.1299865245819092,2.635889768600464,1.623542351957738,66.97966456413269,0.929928183555603,1.55638244861931,1.385735864604695,1.623542351957738
14,2.6793682743663556,1.9794473588519157,1.3998418291753272,2.714831511585514,3.4083484429551345,2.4229008107690766,1.9708952936708652,2.5466556772475237,1.1109931468963623,2.5466558933258057,1.59582451833709,66.78255796432495,0.9323003888130188,1.5565669522148076,1.403885782524617,1.59582451833709
15,2.6392023825096476,1.94600355361738,1.3863976770410493,2.660960913482222,3.269315708983695,2.357253601382588,1.8241242298515894,2.473153676122381,1.0850374698638916,2.473153591156006,1.5726263355152126,65.22927284240723,0.9342543482780457,1.5353349965017908,1.3506014278955085,1.5726263355152126
16,2.5688991022299597,1.9113697845356707,1.3150586259419865,2.600193498157151,3.3203022981752084,2.393913786989936,1.852777022370545,2.4788099954022056,1.130906581878662,2.4788100719451904,1.574423726937952,69.26320195198059,0.9341039657592773,1.547227684428361,1.3611675151288116,1.5726263355152126
17,2.540038657170817,1.884775965941061,1.31052539735606,2.5884082349938495,3.510982737929407,2.55285226035228,1.9162609522243799,2.4992261614118303,1.1409574747085571,2.4992260932922363,1.5808940803520761,64.84852433204651,0.9335612058639526,1.5977647366799894,1.38429073482004,1.5726263355152126
18,2.511908531086778,1.873249461152007,1.2773181372524276,2.5446826499266395,3.3543344591436663,2.4727718901524347,1.7631251751552528,2.715102201416379,1.1963175535202026,2.715102195739746,1.6477567161871154,69.01722550392151,0.927822470664978,1.5725049707428158,1.3278271958311558,1.5726263355152126
19,2.4619763572008764,1.8339241555433266,1.2561044182300987,2.5102118608409243,3.1264917284662275,2.239202730941333,1.7745779657510385,2.3814171049085813,1.0696510076522827,2.3814170360565186,1.543184057737935,64.27156925201416,0.936693012714386,1.496396584401417,1.3321328669742867,1.543184057737935
20,2.4170206276823243,1.786436031516837,1.261169168696045,2.46453630791666,3.3432866252512428,2.460261839142959,1.7660495780763172,2.612348619877102,1.1632241010665894,2.6123485565185547,1.6162761386961557,67.607980966568,0.9305540323257446,1.5685221776394576,1.328927953005764,1.543184057737935
