experiment,tau,save_dir,regional_MAE,regional_MSE,regional_RMSE,regional_MAPE_percent,regional_R2,avg_client_MAE,avg_client_MSE,avg_client_RMSE,avg_client_MAPE_percent,avg_client_R2
fedavg_gc_rc_head_fc1_fc2_tau1p0_lambda1p0,1.0,runs/codex_gc_head_smoke\results\fedavg_gc_rc_head_fc1_fc2_tau1p0_lambda1p0,11.319772720336914,239.5674285888672,15.477965906050677,12.897320091724396,0.7529717683792114,1.8015301095114813,6.007103972964817,2.3914620137086597,20.074211557706196,0.5893175668186612
fedavg_gc_rc_head_fc1_fc2_tau0p2_lambda1p0,0.2,runs/codex_gc_head_smoke\results\fedavg_gc_rc_head_fc1_fc2_tau0p2_lambda1p0,11.333861351013184,240.4026641845703,15.504923869034968,12.885242700576782,0.752110481262207,1.7712345785564847,5.772343582577175,2.3713066600513835,19.464918971061707,0.60625159740448
