round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,8,0.0148800794238198,0.002807368461520926,0.0148800794238198,0.0,0.0,0.0148800794238198,0.0,0.0,0.6440181732177734,0.0,0.0,353.0,0.0,0.0027775787232377277,2.736402750015259,23.126699447631836,4.809022712322311,323045050.0,0.9867945909500122,0.518422320485115,1.072673037648201,1.0051772069852798,0.9643270373344421,5211
2,8,0.002572122909963361,0.002753107290690472,0.002572122909963361,0.0,0.0,0.002572122909963361,0.0,0.0,0.608668327331543,0.0,0.0,353.0,0.0,0.002495713335732355,2.4710750579833984,20.237016677856445,4.498557177346582,139546700.0,0.9884446263313293,0.47659672424197197,0.972353495657444,0.9543769620099758,0.9679856672883034,5211
3,8,0.0024047833721843274,0.0025191440952570276,0.0024047833721843274,0.0,0.0,0.0024047833721843274,0.0,0.0,0.6033669710159302,0.0,0.0,353.0,0.0,0.0023851611818314794,2.3358123302459717,18.610532760620117,4.313992670441167,191108775.0,0.9893733263015747,0.4624642916023731,0.9270569235086441,0.9324108599886709,0.9693809226155281,5211
4,8,0.002342231741782645,0.002606004062750365,0.002342231741782645,0.0,0.0,0.002342231741782645,0.0,0.0,0.5784638524055481,0.0,0.0,353.0,0.0,0.0023655500813999277,2.2214584350585938,18.42461585998535,4.292390459870275,82138700.0,0.9894794821739197,0.4481002502143383,0.9189917594194412,0.9283650423068888,0.9696246758103371,5211
5,8,0.0022957993460617303,0.0024746194538828614,0.0022957993460617303,0.0,0.0,0.0022957993460617303,0.0,0.0,0.5661777257919312,0.0,0.0,353.0,0.0,0.0023495576814688253,2.2206461429595947,18.244497299194336,4.271357781688902,91833875.0,0.989582359790802,0.44750654324889183,0.9116749204695225,0.924999649539386,0.9698247015476227,5211
6,8,0.002278903511220163,0.0026152156267753887,0.002278903511220163,0.0,0.0,0.002278903511220163,0.0,0.0,0.5653929710388184,0.0,0.0,353.0,0.0,0.0023607606178821265,2.2916064262390137,18.630441665649414,4.316299533819382,151145987.5,0.9893620014190674,0.45536695420742035,0.9146048314869404,0.9270231200695155,0.9696771129965782,5211
7,8,0.0022575783264982938,0.002435914547077017,0.0022575783264982938,0.0,0.0,0.0022575783264982938,0.0,0.0,0.5488256216049194,0.0,0.0,353.0,0.0,0.002333718808904127,2.1610071659088135,17.920862197875977,4.233303934030248,84263800.0,0.9897671341896057,0.44141102209687233,0.9052480235695839,0.9218608835456235,0.9700269624590874,5211
8,8,0.002242265107582,0.0024510285532454473,0.002242265107582,0.0,0.0,0.002242265107582,0.0,0.0,0.5312508940696716,0.0,0.0,353.0,0.0,0.0023470849512837295,2.334991931915283,18.594650268554688,4.312151466327996,139390237.5,0.9893823862075806,0.4587595537304878,0.9101300239562988,0.9245979463856574,0.9698664546012878,5211
9,8,0.002230853553803859,0.0023802214484274255,0.002230853553803859,0.0,0.0,0.002230853553803859,0.0,0.0,0.5225635170936584,0.0,0.0,353.0,0.0,0.00232132642179419,2.2289137840270996,17.860271453857422,4.226141437985414,117466100.0,0.9898017644882202,0.44795145839452744,0.9005059972405434,0.9194708113273923,0.9701921567320824,5211
10,8,0.002229014909697221,0.0023834924821858855,0.002229014909697221,0.0,0.0,0.002229014909697221,0.0,0.0,0.49861037731170654,0.0,0.0,353.0,0.0,0.0023249099726390795,2.2220258712768555,17.902664184570312,4.231154001519008,114655062.5,0.9897775650024414,0.4460664577782154,0.9036752879619598,0.920541246117413,0.9701577499508858,5211
