round,direction,receiver_id,selected_sender_id,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,sender_id,val_loss_receiver_loc,val_loss_receiver_trans,val_loss_sender_copy_trans,val_loss_merged,accept_merge,rollback_to_local,rollback_reason,receiver_transfer_loss_avg,sender_copy_transfer_loss_avg,receiver_pred_loss_avg,sender_copy_pred_loss_avg,receiver_active_ratio_avg,sender_copy_active_ratio_avg,w_receiver,w_sender
1,Client6 -> Client2,2,6,True,0.019055303146662986,0.0027591151235286646,0.02314538019577978,0.003878314969701057,6,0.0027591151235286646,0.002133538758359325,0.0020239793450793748,0.16089742461291276,True,False,,0.0008117908164052169,0.00041171784693520125,0.0023471800555887427,0.0023122269895065233,0.22630464269690775,0.4705042476802756,468.7026701789505,494.073747191976
2,Client7 -> Client2,2,7,False,,0.16089742461291276,0.011268754857324455,0.0036204221033863115,7,0.16089742461291276,0.0030559123772046525,0.0021829591749627925,0.08975321578472778,True,False,,0.0077694176972370275,0.0007809999139265171,0.008284238983291456,0.0023738665304534347,0.5393475001876932,0.41698593627370256,327.2334426618294,458.09167232837564
3,Client5 -> Client2,2,5,False,,0.08975321578472778,0.01902346738370945,0.0029360965970025034,5,0.08975321578472778,0.0020474441451780287,0.0020013287640963094,0.14461788035267215,True,False,,0.0027600849863465733,0.00040471829605660174,0.0048352275704159845,0.002325331067187575,0.6242057920740506,0.5394664826440048,488.4114266271144,499.6655328622204
4,Client3 -> Client2,2,3,False,,0.14461788035267215,0.012110685551313852,0.003123247207672682,3,0.14461788035267215,0.002184779749064601,0.002130792421972223,0.10136194678276886,True,False,,0.00798770063839022,0.00037866188598671577,0.008087923862067524,0.0022001864775321204,0.6181614829981154,0.3828617661863036,457.7099468853428,469.30676898443846
5,Client1 -> Client2,2,1,False,,0.10136194678276886,0.010684425610554453,0.0020814434920055705,1,0.10136194678276886,0.002297760142924736,0.001971260082234727,0.08856847895853717,True,False,,0.0035780910160757066,0.00031135080211462527,0.005413779749192308,0.0022181674478960723,0.6812935773465594,0.49501463484495173,435.2045408367704,507.2871591833584
6,Client5 -> Client2,2,5,False,,0.08856847895853717,0.0029270419107469796,0.0032453376155884943,5,0.08856847895853717,0.0020929433479703174,0.003015666903945437,0.11855670126025267,True,False,,0.0038262834631470244,0.00029124974717682436,0.00518300410912624,0.00214787604040557,0.39149989292925885,0.5624538943037819,477.7937362864632,331.6005102176865
7,Client6 -> Client2,2,6,False,,0.11855670126025267,0.002570367169508631,0.0030816936869202125,6,0.11855670126025267,0.002255454507190466,0.0027098718082406823,0.12582778082804863,True,False,,0.0058948959966396135,0.00043927323709658494,0.007028993922333052,0.0022084872641069684,0.5755895581069372,0.3846940961037109,443.36765079298743,369.01978416882434
8,Client3 -> Client2,2,3,False,,0.12582778082804863,0.0025233837731096233,0.0024928076564389914,3,0.12582778082804863,0.002216075833777305,0.0022040127642387304,0.09835169134213677,True,False,,0.007621293106836975,0.00045956877501223753,0.00866636660272611,0.002157658768360665,0.7846417438126364,0.35911286678471477,451.2460594973914,453.71582191683945
9,Client5 -> Client2,2,5,False,,0.09835169134213677,0.002753355170187478,0.0026853869157457072,5,0.09835169134213677,0.002172004687975155,0.0019137128461903844,0.10439380953194564,True,False,,0.0032884103762016548,0.00024980603143329286,0.005121717749311242,0.0020655631100851505,0.60121838043484,0.5469623777476479,460.40204310599887,522.5417055508759
10,Client3 -> Client2,2,3,False,,0.10439380953194564,0.002425317881752802,0.0024169170652625026,3,0.10439380953194564,0.0021758397279637524,0.002820011741658478,0.07429734207839889,True,False,,0.0027448424604739558,0.0003696851947190391,0.004390454141407061,0.002056357104121955,0.6767960402863592,0.3917854508252577,459.5905623206067,354.6071951246347
