round,selected_clients,avg_local_train_loss,avg_local_val_loss,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0017321541473420406,0.001461631213103889,0.004033561302015754,22.809120178222656,26.791014984257664,107.10922479629517,0.7369991540908813,2.852955593003167,3.4776962138051357,0.6643388403786553,5211
2,9,0.0011180110618754235,0.0009606616924467785,0.001102902158813591,6.1057586669921875,8.788940103314417,60.92108488082886,0.9716957211494446,1.3664772245619032,1.8220722484286516,0.9120812349849277,5211
3,9,0.0009981757729673585,0.0009415812222468563,0.001009107016650427,5.752738952636719,8.06947769913977,62.45905160903931,0.976140022277832,1.3296161161528692,1.744313471046481,0.9185406830575731,5211
4,9,0.0009466409758885325,0.0008678517475614187,0.0009476948136399282,5.328070163726807,7.371025178122354,55.38060665130615,0.9800916910171509,1.288176463709937,1.6905123089444483,0.9229426052835252,5211
5,9,0.0009101427946116074,0.0008628840486309995,0.0009133629577766226,4.823362827301025,6.889043163636676,54.01935577392578,0.9826101064682007,1.2640228205256991,1.6572286795140991,0.9267480240927802,5211
6,9,0.000890046705549651,0.0008142857419505684,0.0009110298881720301,4.777768611907959,6.843377647547527,50.36502480506897,0.9828398823738098,1.2575033903121948,1.6519977861964859,0.9276495907041762,5211
7,9,0.0008783943099546047,0.0007722956835546145,0.0008851964481319671,4.564004421234131,6.522665268195796,53.43908071517944,0.9844105839729309,1.2447229425112407,1.6306283362457963,0.9290789167086283,5211
8,9,0.0008684366257931593,0.0007883894371843276,0.0008839844835836098,4.5748467445373535,6.53928067699047,49.87027049064636,0.9843310713768005,1.2447988986968994,1.6290814620959937,0.9292481872770522,5211
9,9,0.0008610686502297662,0.000794584524751851,0.0008908253269344808,4.575453281402588,6.580162475806187,47.29449450969696,0.9841345548629761,1.249738613764445,1.6351759359967764,0.9288268685340881,5211
10,9,0.0008549732042068699,0.0008070421931795588,0.0008877018508810044,4.770374298095703,6.609682910140805,55.586785078048706,0.9839918613433838,1.2568959527545505,1.6349217396825548,0.9279856085777283,5211
