round,client_id,layer_name,ref_client_id,weight,self_weight,alpha
1,1,conv1,1,0.4597068727016449,0.4597068727016449,0.5
1,1,conv1,2,0.2614280581474304,0.4597068727016449,0.5
1,1,conv1,3,0.2788650691509247,0.4597068727016449,0.5
1,1,conv2,1,0.32555121183395386,0.32555121183395386,0.5
1,1,conv2,2,0.33968043327331543,0.32555121183395386,0.5
1,1,conv2,3,0.3347683846950531,0.32555121183395386,0.5
1,1,lstm1,1,0.3618737459182739,0.3618737459182739,0.5
1,1,lstm1,2,0.3625979423522949,0.3618737459182739,0.5
1,1,lstm1,3,0.27552831172943115,0.3618737459182739,0.5
1,1,lstm2,1,0.4247499704360962,0.4247499704360962,0.5
1,1,lstm2,2,0.2115182876586914,0.4247499704360962,0.5
1,1,lstm2,3,0.3637317717075348,0.4247499704360962,0.5
1,1,attention,1,0.3491309881210327,0.3491309881210327,0.5
1,1,attention,2,0.27570146322250366,0.3491309881210327,0.5
1,1,attention,3,0.37516751885414124,0.3491309881210327,0.5
1,2,conv1,2,0.3185158371925354,0.3185158371925354,0.5
1,2,conv1,1,0.3643665015697479,0.3185158371925354,0.5
1,2,conv1,3,0.3171176016330719,0.3185158371925354,0.5
1,2,conv2,2,0.29418015480041504,0.29418015480041504,0.5
1,2,conv2,1,0.4017100930213928,0.29418015480041504,0.5
1,2,conv2,3,0.30410972237586975,0.29418015480041504,0.5
1,2,lstm1,2,0.3154826760292053,0.3154826760292053,0.5
1,2,lstm1,1,0.29648640751838684,0.3154826760292053,0.5
1,2,lstm1,3,0.38803088665008545,0.3154826760292053,0.5
1,2,lstm2,2,0.2596571445465088,0.2596571445465088,0.5
1,2,lstm2,1,0.37446773052215576,0.2596571445465088,0.5
1,2,lstm2,3,0.36587509512901306,0.2596571445465088,0.5
1,2,attention,2,0.25182536244392395,0.25182536244392395,0.5
1,2,attention,1,0.3698219954967499,0.25182536244392395,0.5
1,2,attention,3,0.37835264205932617,0.25182536244392395,0.5
1,3,conv1,3,0.32491055130958557,0.32491055130958557,0.5
1,3,conv1,1,0.3678721487522125,0.32491055130958557,0.5
1,3,conv1,2,0.3072172999382019,0.32491055130958557,0.5
1,3,conv2,3,0.3503348231315613,0.3503348231315613,0.5
1,3,conv2,1,0.3362390398979187,0.3503348231315613,0.5
1,3,conv2,2,0.31342610716819763,0.3503348231315613,0.5
1,3,lstm1,3,0.26128509640693665,0.26128509640693665,0.5
1,3,lstm1,1,0.3672928214073181,0.26128509640693665,0.5
1,3,lstm1,2,0.3714221119880676,0.26128509640693665,0.5
1,3,lstm2,3,0.3201727867126465,0.3201727867126465,0.5
1,3,lstm2,1,0.4237591624259949,0.3201727867126465,0.5
1,3,lstm2,2,0.25606805086135864,0.3201727867126465,0.5
1,3,attention,3,0.32293516397476196,0.32293516397476196,0.5
1,3,attention,1,0.41537803411483765,0.32293516397476196,0.5
1,3,attention,2,0.2616868019104004,0.32293516397476196,0.5
1,4,conv1,4,0.2813565135002136,0.2813565135002136,0.5
1,4,conv1,1,0.417942076921463,0.2813565135002136,0.5
1,4,conv1,2,0.30070143938064575,0.2813565135002136,0.5
1,4,conv2,4,0.36623913049697876,0.36623913049697876,0.5
1,4,conv2,1,0.3015531599521637,0.36623913049697876,0.5
1,4,conv2,2,0.33220767974853516,0.36623913049697876,0.5
1,4,lstm1,4,0.4238382577896118,0.4238382577896118,0.5
1,4,lstm1,1,0.23408544063568115,0.4238382577896118,0.5
1,4,lstm1,2,0.3420763611793518,0.4238382577896118,0.5
1,4,lstm2,4,0.19940528273582458,0.19940528273582458,0.5
1,4,lstm2,1,0.5412845015525818,0.19940528273582458,0.5
1,4,lstm2,2,0.25931018590927124,0.19940528273582458,0.5
1,4,attention,4,0.32679682970046997,0.32679682970046997,0.5
1,4,attention,1,0.4003639221191406,0.32679682970046997,0.5
1,4,attention,2,0.2728392779827118,0.32679682970046997,0.5
1,5,conv1,5,0.46523523330688477,0.46523523330688477,0.5
1,5,conv1,1,0.2924790382385254,0.46523523330688477,0.5
1,5,conv1,2,0.24228571355342865,0.46523523330688477,0.5
1,5,conv2,5,0.22836850583553314,0.22836850583553314,0.5
1,5,conv2,1,0.36799532175064087,0.22836850583553314,0.5
1,5,conv2,2,0.4036361277103424,0.22836850583553314,0.5
1,5,lstm1,5,0.31743526458740234,0.31743526458740234,0.5
1,5,lstm1,1,0.38868966698646545,0.31743526458740234,0.5
1,5,lstm1,2,0.2938750982284546,0.31743526458740234,0.5
1,5,lstm2,5,0.36100009083747864,0.36100009083747864,0.5
1,5,lstm2,1,0.4045444130897522,0.36100009083747864,0.5
1,5,lstm2,2,0.23445552587509155,0.36100009083747864,0.5
1,5,attention,5,0.4066321849822998,0.4066321849822998,0.5
1,5,attention,1,0.30793946981430054,0.4066321849822998,0.5
1,5,attention,2,0.28542837500572205,0.4066321849822998,0.5
1,6,conv1,6,0.4288991689682007,0.4288991689682007,0.5
1,6,conv1,1,0.3088594675064087,0.4288991689682007,0.5
1,6,conv1,2,0.262241393327713,0.4288991689682007,0.5
1,6,conv2,6,0.34471917152404785,0.34471917152404785,0.5
1,6,conv2,1,0.32590004801750183,0.34471917152404785,0.5
1,6,conv2,2,0.32938075065612793,0.34471917152404785,0.5
1,6,lstm1,6,0.3494865596294403,0.3494865596294403,0.5
1,6,lstm1,1,0.36673399806022644,0.3494865596294403,0.5
1,6,lstm1,2,0.28377944231033325,0.3494865596294403,0.5
1,6,lstm2,6,0.39975470304489136,0.39975470304489136,0.5
1,6,lstm2,1,0.34898287057876587,0.39975470304489136,0.5
1,6,lstm2,2,0.2512624263763428,0.39975470304489136,0.5
1,6,attention,6,0.3719079792499542,0.3719079792499542,0.5
1,6,attention,1,0.33017367124557495,0.3719079792499542,0.5
1,6,attention,2,0.2979183793067932,0.3719079792499542,0.5
1,7,conv1,7,0.461795836687088,0.461795836687088,0.5
1,7,conv1,1,0.27879345417022705,0.461795836687088,0.5
1,7,conv1,2,0.25941064953804016,0.461795836687088,0.5
1,7,conv2,7,0.3062455654144287,0.3062455654144287,0.5
1,7,conv2,1,0.4012962579727173,0.3062455654144287,0.5
1,7,conv2,2,0.292458176612854,0.3062455654144287,0.5
1,7,lstm1,7,0.447185754776001,0.447185754776001,0.5
1,7,lstm1,1,0.26938265562057495,0.447185754776001,0.5
1,7,lstm1,2,0.2834315598011017,0.447185754776001,0.5
1,7,lstm2,7,0.33152276277542114,0.33152276277542114,0.5
1,7,lstm2,1,0.38509833812713623,0.33152276277542114,0.5
1,7,lstm2,2,0.2833788990974426,0.33152276277542114,0.5
1,7,attention,7,0.37010514736175537,0.37010514736175537,0.5
1,7,attention,1,0.39289429783821106,0.37010514736175537,0.5
1,7,attention,2,0.23700052499771118,0.37010514736175537,0.5
1,8,conv1,8,0.30906417965888977,0.30906417965888977,0.5
1,8,conv1,1,0.37396109104156494,0.30906417965888977,0.5
1,8,conv1,2,0.3169747591018677,0.30906417965888977,0.5
1,8,conv2,8,0.35906919836997986,0.35906919836997986,0.5
1,8,conv2,1,0.3887103497982025,0.35906919836997986,0.5
1,8,conv2,2,0.25222039222717285,0.35906919836997986,0.5
1,8,lstm1,8,0.41108328104019165,0.41108328104019165,0.5
1,8,lstm1,1,0.2682187557220459,0.41108328104019165,0.5
1,8,lstm1,2,0.32069796323776245,0.41108328104019165,0.5
1,8,lstm2,8,0.2244158387184143,0.2244158387184143,0.5
1,8,lstm2,1,0.4823180139064789,0.2244158387184143,0.5
