round,client_id,client_name,alpha,distance_avg,gamma,ref_client_ids,train_loss,val_loss,meta_loss
1,1,client_1,0.5,0.0,0.5,"[1, 2, 3]",0.0021929218420788142,0.0019322316768559348,2.763144016265869
1,2,client_2,0.5,0.0,0.5,"[2, 1, 3]",0.0022200521633713444,0.0021742605344301927,2.706865072250366
1,3,client_3,0.5,0.0,0.5,"[3, 1, 2]",0.002490803622163905,0.0024214978893036376,2.5329272747039795
1,4,client_4,0.5,0.0,0.5,"[4, 1, 2]",0.0027008158671010004,0.0030484489844212993,2.5306928157806396
1,5,client_5,0.5,0.0,0.5,"[5, 1, 2]",0.002798604766362851,0.004389648649765054,2.201544761657715
1,6,client_6,0.5,0.0,0.5,"[6, 1, 2]",0.0024435444844483,0.0028599545657318395,2.592825412750244
1,7,client_7,0.5,0.0,0.5,"[7, 1, 2]",0.002419275039895345,0.002611833353319304,2.6784744262695312
1,8,client_8,0.5,0.0,0.5,"[8, 1, 2]",0.0024954021865990854,0.00250023793754143,2.2273545265197754
1,9,client_9,0.5,0.0,0.5,"[9, 1, 2]",0.0021622060277133185,0.003233500619824083,2.5558276176452637
2,1,client_1,0.9131014347076416,4.70421141795426,0.5,"[1, 4, 5]",0.0021028763453885668,0.0019301516540074011,6.112409591674805
2,2,client_2,0.920091450214386,4.887180305047271,0.5,"[2, 1, 3]",0.002063637671151814,0.0019623947719791543,5.349038124084473
2,3,client_3,0.9047079682350159,4.501332153643792,0.5,"[3, 1, 4]",0.002319505034296752,0.0023560914017910265,5.830142021179199
2,4,client_4,0.9012326598167419,4.421993331479219,0.5,"[4, 1, 3]",0.0025537903221028706,0.0030310970237895037,5.101787090301514
2,5,client_5,0.9216742515563965,4.930631539939593,0.5,"[5, 3, 4]",0.0026453375128585336,0.0026192714551699996,6.659833908081055
2,6,client_6,0.8349023461341858,3.241555368915821,0.5,"[6, 3, 4]",0.002253735423000655,0.002819058462497361,6.309617519378662
2,7,client_7,0.8203480839729309,3.0374152054040073,0.5,"[7, 3, 4]",0.0022548962131214777,0.0025484956472043704,5.902353286743164
2,8,client_8,0.9462847709655762,5.737690926257831,0.5,"[8, 1, 3]",0.002322864876929077,0.002299351048574668,5.412878513336182
2,9,client_9,0.8787418603897095,3.961139898902426,0.5,"[9, 3, 4]",0.002075897606856834,0.002578082752780965,4.947795391082764
3,1,client_1,0.8790743947029114,3.9673889448167756,0.5,"[1, 5, 6]",0.002036229797218292,0.0019155266480525728,6.925460338592529
3,2,client_2,0.7871441841125488,2.61559312614069,0.5,"[2, 1, 3]",0.0019819414541693537,0.002014235329316156,6.659092903137207
3,3,client_3,0.736207127571106,2.0526939989601183,0.5,"[3, 4, 1]",0.0022815018011229527,0.002482814870962762,6.956568717956543
3,4,client_4,0.7837763428688049,2.5756215834602094,0.5,"[4, 5, 6]",0.0025127402282841727,0.0030381065175670726,6.283716678619385
3,5,client_5,0.7792943716049194,2.523117413472695,0.5,"[5, 4, 6]",0.002555304734240928,0.002670251639608835,7.2944560050964355
3,6,client_6,0.7846493721008301,2.585939102961371,0.5,"[6, 4, 5]",0.0021893944693628887,0.002720560283101473,7.614308834075928
3,7,client_7,0.8490777611732483,3.4547723999712616,0.5,"[7, 4, 5]",0.0022146568448096105,0.002433727259101245,6.98065710067749
3,8,client_8,0.9041077494621277,4.487446273909882,0.5,"[8, 4, 5]",0.0022673351033468065,0.002258216556652414,6.136508464813232
3,9,client_9,0.7217827439308167,1.9066440333263017,0.5,"[9, 4, 5]",0.002019831102354467,0.0024674784443858597,6.16780948638916
