epoch,train_total_loss,train_f1_ste,train_f1_fourier,train_f1_mse,train_f2_ste,train_f2_fourier,train_f2_mse,train_f3_mse,val_total_loss,val_f1_ste,val_f1_fourier,val_f1_mse,val_f2_ste,val_f2_fourier,val_f2_mse,val_f3_mse
1,0.061497745489263476,0.061497745489263476,0.38097700799687645,0.02600004917695147,0.30458572766132364,2.2907349028172805,0.0839024826077598,0.13429506759532908,0.02065339313674083,0.02065339313674083,0.07958911167609344,0.014104980257226759,0.17151729977716865,1.2855980167374266,0.04773055419280049,0.12037692208718594
2,0.015518027342810515,0.015518027342810515,0.0654188459578757,0.00997349204737533,0.13217615002352137,0.9985773282045183,0.03590935087682341,0.22127191215078698,0.008141311105861459,0.008141311105861459,0.04353989143433842,0.0042081354615119745,0.1275226407886101,1.010973186536868,0.02936146931347942,0.21976445168943448
3,0.005646718249709682,0.005646718249709682,0.02932785409273497,0.003015480942010142,0.0895212467300451,0.6957881798336193,0.02215825364253192,0.23649153746354948,0.0025349007229164768,0.0025349007229164768,0.012737324107266653,0.0014012981583142565,0.060956557912211266,0.47570958793071744,0.014872887552345311,0.15092852118835653
4,0.0031597813206375794,0.0031597813206375794,0.014441011442978059,0.001906311321847551,0.05385276757638934,0.4110560374803298,0.014163515164379841,0.18771979977528952,0.002407182546471247,0.002407182546471247,0.011450079331938435,0.0014024162130321614,0.05270735727202508,0.40914110832500017,0.01310360731382478,0.14230772470640513
5,0.0030493960505225508,0.0030493960505225508,0.013757677607050774,0.001859587014008223,0.05009815143974582,0.38089262562288934,0.01334320963020523,0.17989431349012652,0.0023175838532873334,0.0023175838532873334,0.011640142726664719,0.0012817439954361655,0.05031680313443991,0.38998828455233536,0.012575527125205587,0.14745716176091617
6,0.002978347574367787,0.002978347574367787,0.013428286691376664,0.001817243240412565,0.04899765009234672,0.3729153281124268,0.01300679633146977,0.17770806688761334,0.002447890373484765,0.002447890373484765,0.012164982403421091,0.0013682135059276508,0.05034513771533966,0.39149881475898346,0.012439172062593672,0.14213786513391544
7,0.0029186665203043013,0.0029186665203043013,0.01327363515879603,0.0017681144815266555,0.04771223684729961,0.36376047250210997,0.012595765811738694,0.1793424656339369,0.0021931808593878936,0.0021931808593878936,0.011174305842133574,0.0011952781018667988,0.048314872282212415,0.3757340789024365,0.011934959763137427,0.14673758109319046
8,0.002801179522589244,0.002801179522589244,0.012909264674747165,0.0016780589633416437,0.046892608015296613,0.3581347565700671,0.012310146604305528,0.17327714003625194,0.002084374136310042,0.002084374136310042,0.011156623528557851,0.0010763464291499907,0.04661996001105887,0.363317976532627,0.011431291730882752,0.1494546824473939
