round,direction,receiver_id,selected_sender_id,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,sender_id,val_loss_receiver_loc,val_loss_receiver_trans,val_loss_sender_copy_trans,val_loss_merged,accept_merge,rollback_to_local,rollback_reason,receiver_transfer_loss_avg,sender_copy_transfer_loss_avg,receiver_pred_loss_avg,sender_copy_pred_loss_avg,receiver_active_ratio_avg,sender_copy_active_ratio_avg,w_receiver,w_sender
1,Client3 -> Client2,2,3,True,0.0031491913825327455,0.0017844669791083263,0.0035379243500551685,0.0011767519705544072,3,0.0017844669791083263,0.0009995744286798122,0.0009449870255297667,0.005947979072112797,True,False,,0.0006188630437268697,0.0005213934368049692,0.0014090418501302782,0.0013136300553234367,0.4115841325052524,0.4814030411966927,1000.4157440915088,1058.2043889920167
2,Client1 -> Client2,2,1,False,,0.005947979072112797,0.00857113506888527,0.0016728774637285555,1,0.005947979072112797,0.001005074116074759,0.0012400966635545973,0.011584010503140984,True,False,,0.0015409849421847547,0.00037855177371219395,0.0022321582169668288,0.0014882259145931128,0.3786735835244279,0.5434642933652858,994.9416014108208,806.3822487120873
3,Client6 -> Client2,2,6,False,,0.011584010503140984,0.009908051923890021,0.002261897910409915,6,0.011584010503140984,0.0009642385252162699,0.0011810969542773633,0.01584753723762539,True,False,,0.001879185504357421,0.00044947206775916,0.0027356634054102394,0.0015428953398030777,0.48378269044348665,0.5514361183197062,1037.0770334086967,846.6633748777053
4,Client5 -> Client2,2,5,False,,0.01584753723762539,0.003650031366701309,0.0017535865541516797,5,0.01584753723762539,0.0008970644997840851,0.0011266070409726892,0.011631798539064056,True,False,,0.0027654593010408243,0.0003700187446534819,0.003069930386197224,0.001315940180303509,0.4460652499927905,0.5176450991365034,1114.7346181846522,887.6130607225934
5,Client5 -> Client2,2,5,False,,0.011631798539064056,0.0009779633286577868,0.0010011867695940918,5,0.011631798539064056,0.0008580125848549297,0.0007902709238427419,0.0036221306866075615,True,False,,0.0027864742235679764,0.0003390423747995984,0.002950085429521141,0.001163856521938572,0.5051757370970612,0.45625014873162345,1165.470487200608,1265.3728184877584
6,Client4 -> Client2,2,4,False,,0.0036221306866075615,0.006118437465525364,0.0012818208576358405,4,0.0036221306866075615,0.0011216081101973682,0.0008560002936961602,0.013107524796744164,True,False,,0.0005540306783288403,0.000531827316608383,0.001306472557586424,0.0012935028461578922,0.40085191443419604,0.44478023941398925,891.5690562664263,1168.2102509329738
7,Client3 -> Client2,2,3,False,,0.013107524796744164,0.0015320719638601673,0.0009901997995146606,3,0.013107524796744164,0.0011046345782227817,0.0009531988889435415,0.0054815262525693235,True,False,,0.0018446370208176903,0.00040018039274708505,0.0024587916615374655,0.0011606562246127118,0.4859481712636718,0.44092520762510534,905.2685539894288,1049.0879927780759
8,Client3 -> Client2,2,3,False,,0.0054815262525693235,0.001326345993043722,0.0014015596121686508,3,0.0054815262525693235,0.001366058331759651,0.0009217921141144535,0.0015347159908054282,True,False,,0.0014902294305067048,0.00041988596745315594,0.0018469365552696321,0.0010791884968949304,0.36529995479588395,0.37305761133362403,732.0278032592165,1084.8315323735926
9,Client8 -> Client2,2,8,False,,0.0015347159908054282,0.010073658800421848,0.002032822056855675,8,0.0015347159908054282,0.0008326372434371717,0.0008620353755583145,0.017621729376391105,True,False,,0.000599212127975579,0.0006626588416604472,0.0011323314492004291,0.0015529653876399563,0.37646050973434175,0.5983152083553115,1200.9887835237348,1160.0317435173727
10,Client1 -> Client2,2,1,False,,0.017621729376391105,0.0012556956249531093,0.0009741249580689223,1,0.017621729376391105,0.001390947028458393,0.0009221566839085013,0.023966449041386364,True,False,,0.003659620794947196,0.0005144925002095375,0.003571716750580655,0.001237431655907656,0.5201675273156945,0.3818861099966073,718.9294705303058,1084.4026545847555
