scope,method,client_id,client_name,MAE,RMSE,MAPE_percent,R2,test_loss
per_client,direct_net_load,1,client_1,1.1469697952270508,1.5635255118528126,56.71913027763367,0.9427956938743592,0.0007419179359239
per_client,direct_net_load,2,client_2,1.1472080945968628,1.5536423433652329,56.45533204078674,0.9419595003128052,0.000909143442946
per_client,direct_net_load,3,client_3,1.1086180210113523,1.4914964603659573,61.425453424453735,0.9257333278656006,0.0008789624364845
per_client,direct_net_load,4,client_4,1.2619417905807495,1.7107520155325495,50.99216103553772,0.92485773563385,0.0006947327912383
per_client,direct_net_load,5,client_5,1.25584077835083,1.7579160532649272,155.23313283920288,0.95721697807312,0.0006095535490517
per_client,direct_net_load,6,client_6,0.8970369100570679,1.2298663405547683,49.38192367553711,0.9464311003684998,0.0008801181456935
per_client,direct_net_load,7,client_7,0.9051995873451232,1.235559016363144,74410.87036132812,0.9357991218566896,0.0008160081895604
per_client,direct_net_load,8,client_8,1.029449462890625,1.405660505715657,277405.615234375,0.9458126425743104,0.0009089148442038
per_client,direct_net_load,9,client_9,1.2659093141555786,1.6532327050816196,55.59318661689758,0.932932198047638,0.0006413489814593
per_client,indirect_gc_minus_gg,1,client_1,1.0822988748550415,1.4796218261323768,59.02780294418335,0.9487401247024536,
per_client,indirect_gc_minus_gg,2,client_2,1.1527446508407593,1.5712048476596951,59.47389006614685,0.9406020045280457,
per_client,indirect_gc_minus_gg,3,client_3,1.096251368522644,1.4795701009548436,63.220590353012085,0.926896035671234,
per_client,indirect_gc_minus_gg,4,client_4,1.2268600463867188,1.6777959064040366,50.488829612731934,0.927682399749756,
per_client,indirect_gc_minus_gg,5,client_5,1.2260392904281616,1.7315761906127882,160.44784784317017,0.958462655544281,
per_client,indirect_gc_minus_gg,6,client_6,0.9038930535316468,1.224754507417438,53.26305031776428,0.94684499502182,
per_client,indirect_gc_minus_gg,7,client_7,0.8529765009880066,1.15903714339186,1565766.796875,0.9434654712677002,
per_client,indirect_gc_minus_gg,8,client_8,1.0432840585708618,1.4258713785190562,3108552.1484375,0.9442165493965148,
per_client,indirect_gc_minus_gg,9,client_9,1.22541081905365,1.6046045952379409,49.88214671611786,0.936809778213501,
regional_sum_from_clients,direct_net_load,all,regional_sum,4.595512699615495,6.265630990762895,24.581702670345212,0.9860051568147664,
regional_sum_from_clients,indirect_gc_minus_gg,all,regional_sum,4.430286619777742,6.077115468403052,24.425737548245145,0.986834620416669,
