round,selected_clients,avg_local_train_loss,avg_local_val_loss,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.002435956104688446,0.0026118367749564733,0.002544231778014598,2.9140384197235107,5.061047946234743,227410225.0,0.9885897040367126,0.4983997775448693,0.9704675062379506,0.9672726061609056,5211
2,9,0.002281605938117336,0.0025034067825787554,0.0023968747542320746,2.660573720932007,4.790283246674879,163209175.0,0.9897779226303101,0.47035424576865303,0.9424180675782825,0.9691811866230435,5211
3,9,0.0022281430009630215,0.0024722548932808817,0.0023619373731052157,2.5279548168182373,4.722667154531456,122900325.0,0.9900644421577454,0.45655162466896904,0.9351769549057855,0.9696152607599894,5211
4,9,0.0021920752484956567,0.0024481656317697597,0.0023427595641523588,2.4749808311462402,4.7370040191059966,62249343.75,0.9900040626525879,0.449211491478814,0.9316230293585206,0.9698739250500997,5211
5,9,0.0021632516400742386,0.0025688285612881965,0.0023304628828327285,2.417799234390259,4.6801268509847676,90843518.75,0.9902426600456238,0.4442375732792748,0.9291577308243839,0.9700250493155586,5211
6,9,0.002150099475388989,0.002535890522124319,0.0023531301660212325,2.561629056930542,4.824924037513279,72496537.5,0.9896295666694641,0.4563247594568465,0.9340604422855419,0.9697544376055399,5211
7,9,0.0021381949738031227,0.002420574663445807,0.002298069608653514,2.3323705196380615,4.58295089975716,75723650.0,0.9906436204910278,0.43684091170628864,0.9227941790935685,0.9704442686504788,5211
8,9,0.0021263568310801945,0.002380623889033052,0.0022929757290127417,2.3253138065338135,4.577405853553357,72868662.5,0.9906662702560425,0.43487082918485004,0.9218585544755348,0.9705133040746053,5211
9,9,0.0021177884495452524,0.0023590124745428744,0.0023018708584253626,2.3621675968170166,4.63020300105002,60926706.25,0.9904497265815735,0.4376828008227878,0.9233116416968267,0.9703946444723341,5211
10,9,0.0021069797491196046,0.002329082591124349,0.002285808807330889,2.288674831390381,4.562994525184666,48078450.0,0.9907249212265015,0.4316124551826053,0.9201359126431536,0.9706012672848172,5211
