round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0024308801254228846,0.00267564721099583,0.0024308801254228846,0.0,0.0,0.0024308801254228846,0.0,0.0,0.4270212948322296,0.0,0.0,353.0,0.0,0.0026418427256391093,3.1940677165985107,27.786508560180664,5.271290976618599,368609100.0,0.9876220226287842,0.5261769692103068,1.0319066908624437,0.9885384291284315,0.9659988813930087,5211
2,9,0.002284716976083743,0.0024551142224580468,0.002284716976083743,0.0,0.0,0.002284716976083743,0.0,0.0,0.35615819692611694,0.0,0.0,353.0,0.0,0.002406355952297282,2.682987689971924,23.021907806396484,4.79811502638239,230184975.0,0.9897444844245911,0.4739247229364183,0.9431370000044504,0.9439940828883895,0.9690432217386034,5211
3,9,0.002227857125558486,0.0024952331126828647,0.002227857125558486,0.0,0.0,0.002227857125558486,0.0,0.0,0.3102579712867737,0.0,0.0,353.0,0.0,0.002420879923396484,2.844204902648926,23.763648986816406,4.874797327768244,254074350.0,0.9894140362739563,0.48741379711363053,0.9454666442341275,0.9460987461510116,0.9688388771480985,5211
4,9,0.002190806664399164,0.0024384348237615544,0.002190806664399164,0.0,0.0,0.002190806664399164,0.0,0.0,0.2827121913433075,0.0,0.0,353.0,0.0,0.0023741239413460915,2.5110557079315186,23.00177001953125,4.796016057055194,76555475.0,0.9897534251213074,0.45177234212557477,0.9275773035155402,0.9370142539155485,0.9694452418221368,5211
5,9,0.002165808319942892,0.002514034529144523,0.002165808319942892,0.0,0.0,0.002165808319942892,0.0,0.0,0.25151559710502625,0.0,0.0,353.0,0.0,0.002340936568797281,2.377655506134033,22.104127883911133,4.701502726140987,52638756.25,0.9901533126831055,0.4402590062883165,0.9162800312042236,0.9308923107859363,0.9698828591240777,5211
6,9,0.002151240699882935,0.002493047357977046,0.002151240699882935,0.0,0.0,0.002151240699882935,0.0,0.0,0.23064279556274414,0.0,0.0,353.0,0.0,0.0023297829217181435,2.518648862838745,22.316781997680664,4.724064139877936,103108131.25,0.9900586009025574,0.45225265622138977,0.9137658807966444,0.9291908570252413,0.9700445599026151,5211
7,9,0.002140037660495678,0.0023950554824855672,0.002140037660495678,0.0,0.0,0.002140037660495678,0.0,0.0,0.21818578243255615,0.0,0.0,353.0,0.0,0.002304387782057773,2.3719022274017334,21.539867401123047,4.641106269104711,52361740.625,0.9904046654701233,0.43886163499620223,0.9037693871392144,0.9240989380281861,0.9703701204723783,5211
8,9,0.002122654202470887,0.0024387438268487095,0.002122654202470887,0.0,0.0,0.002122654202470887,0.0,0.0,0.21363966166973114,0.0,0.0,353.0,0.0,0.0023280619327029264,2.3911516666412354,21.759071350097656,4.664661975973999,79847168.75,0.9903070330619812,0.4406909710831112,0.910857167508867,0.9282661765460579,0.9700452354219224,5211
9,9,0.002115539461671411,0.002363256428754501,0.002115539461671411,0.0,0.0,0.002115539461671411,0.0,0.0,0.1992691606283188,0.0,0.0,353.0,0.0,0.0023005363598376993,2.3474745750427246,21.33416175842285,4.618891832292985,53835006.25,0.9904963374137878,0.43583470914098954,0.9005001352892982,0.9229329514721117,0.9704089827007718,5211
10,9,0.0021160914306917137,0.0023761839325740315,0.0021160914306917137,0.0,0.0,0.0021160914306917137,0.0,0.0,0.19383393228054047,0.0,0.0,353.0,0.0,0.0022911744312778485,2.324857234954834,21.119802474975586,4.595628626746898,55587087.5,0.990591824054718,0.4345274799399906,0.8966153959433237,0.9210007424194218,0.9705294503106011,5211
11,9,0.002101176261990261,0.002350225822545066,0.002101176261990261,0.0,0.0,0.002101176261990261,0.0,0.0,0.18916605412960052,0.0,0.0,353.0,0.0,0.0022898193717334754,2.3997304439544678,20.82181739807129,4.563092963996163,136492050.0,0.9907245635986328,0.44231614139344955,0.8968456917338901,0.9208083618449684,0.9705441196759542,5211
12,9,0.002097486834056585,0.002423637625172241,0.002097486834056585,0.0,0.0,0.002097486834056585,0.0,0.0,0.18598829209804535,0.0,0.0,353.0,0.0,0.0023012597761999515,2.2868592739105225,20.99758529663086,4.582312221644315,41499487.5,0.990646243095398,0.4305935932530297,0.9007006718052758,0.9229697954268343,0.9703954193327162,5211
13,9,0.002094656747034058,0.0023386389733724947,0.002094656747034058,0.0,0.0,0.002094656747034058,0.0,0.0,0.18325115740299225,0.0,0.0,353.0,0.0,0.0022865910500898604,2.2695858478546143,20.747581481933594,4.55495131499049,38829600.0,0.9907576441764832,0.42899036407470703,0.8945218192206489,0.9199324810943295,0.9705835845735338,5211
14,9,0.0020847019338729477,0.0024105295596793456,0.0020847019338729477,0.0,0.0,0.0020847019338729477,0.0,0.0,0.17977271974086761,0.0,0.0,353.0,0.0,0.0022929009648870835,2.405698299407959,21.449758529663086,4.631388401944182,61748912.5,0.9904448390007019,0.4408037066459656,0.8976960281531016,0.9214784399996085,0.9705189996295505,5211
15,9,0.0020741926555151256,0.002322024507690445,0.0020741926555151256,0.0,0.0,0.0020741926555151256,0.0,0.0,0.1693640798330307,0.0,0.0,353.0,0.0,0.002281441884072048,2.265554189682007,20.569313049316406,4.5353404557228565,43798690.625,0.990837037563324,0.42866280674934387,0.8924900591373444,0.9188170280636704,0.9706485205226474,5211
